theta_deg,sum_db,diff_db
-90.0000,-50.693420,-25.739412
-89.7500,-50.692543,-25.739433
-89.5000,-50.688496,-25.739391
-89.2500,-50.681824,-25.739330
-89.0000,-50.672562,-25.739279
-88.7500,-50.660088,-25.739153
-88.5000,-50.643482,-25.738998
-88.2500,-50.622860,-25.738876
-88.0000,-50.596638,-25.738674
-87.7500,-50.564186,-25.738350
-87.5000,-50.525673,-25.737993
-87.2500,-50.478806,-25.737545
-87.0000,-50.423161,-25.736984
-86.7500,-50.357971,-25.736322
-86.5000,-50.282059,-25.735615
-86.2500,-50.195610,-25.734690
-86.0000,-50.096058,-25.733589
-85.7500,-49.983616,-25.732309
-85.5000,-49.858185,-25.730856
-85.2500,-49.718346,-25.729134
-85.0000,-49.564644,-25.727238
-84.7500,-49.396900,-25.725018
-84.5000,-49.215225,-25.722485
-84.2500,-49.020218,-25.719620
-84.0000,-48.811920,-25.716389
-83.7500,-48.590816,-25.712826
-83.5000,-48.358959,-25.708786
-83.2500,-48.116489,-25.704229
-83.0000,-47.864246,-25.699238
-82.7500,-47.604019,-25.693712
-82.5000,-47.336403,-25.687601
-82.2500,-47.062767,-25.680952
-82.0000,-46.784271,-25.673559
-81.7500,-46.502003,-25.665516
-81.5000,-46.216896,-25.656727
-81.2500,-45.930290,-25.647152
-81.0000,-45.642761,-25.636759
-80.7500,-45.355606,-25.625486
-80.5000,-45.069355,-25.613297
-80.2500,-44.784904,-25.600212
-80.0000,-44.502979,-25.586025
-79.7500,-44.224258,-25.570839
-79.5000,-43.949299,-25.554539
-79.2500,-43.678696,-25.537069
-79.0000,-43.412937,-25.518337
-78.7500,-43.152386,-25.498394
-78.5000,-42.897572,-25.477221
-78.2500,-42.648880,-25.454590
-78.0000,-42.406647,-25.430618
-77.7500,-42.171242,-25.405128
-77.5000,-41.942909,-25.378218
-77.2500,-41.721989,-25.349741
-77.0000,-41.508755,-25.319618
-76.7500,-41.303478,-25.287949
-76.5000,-41.106430,-25.254559
-76.2500,-40.917912,-25.219482
-76.0000,-40.738045,-25.182602
-75.7500,-40.567169,-25.144062
-75.5000,-40.405544,-25.103622
-75.2500,-40.253410,-25.061359
-75.0000,-40.111015,-25.017279
-74.7500,-39.978661,-24.971292
-74.5000,-39.856537,-24.923380
-74.2500,-39.745033,-24.873669
-74.0000,-39.644333,-24.822010
-73.7500,-39.554859,-24.768389
-73.5000,-39.476902,-24.712923
-73.2500,-39.410751,-24.655506
-73.0000,-39.356834,-24.596283
-72.7500,-39.315502,-24.535168
-72.5000,-39.287220,-24.472197
-72.2500,-39.272404,-24.407429
-72.0000,-39.271534,-24.340965
-71.7500,-39.285110,-24.272770
-71.5000,-39.313744,-24.202946
-71.2500,-39.357929,-24.131498
-71.0000,-39.418411,-24.058548
-70.7500,-39.495892,-23.984203
-70.5000,-39.591091,-23.908428
-70.2500,-39.704857,-23.831371
-70.0000,-39.838161,-23.753222
-69.7500,-39.991970,-23.673916
-69.5000,-40.167435,-23.593643
-69.2500,-40.365822,-23.512562
-69.0000,-40.588421,-23.430771
-68.7500,-40.836887,-23.348305
-68.5000,-41.112804,-23.265419
-68.2500,-41.418243,-23.182240
-68.0000,-41.755280,-23.098801
-67.7500,-42.126385,-23.015347
-67.5000,-42.534264,-22.932074
-67.2500,-42.981934,-22.849003
-67.0000,-43.473011,-22.766415
-66.7500,-44.011139,-22.684345
-66.5000,-44.600700,-22.603064
-66.2500,-45.245747,-22.522688
-66.0000,-45.950855,-22.443392
-65.7500,-46.719261,-22.365389
-65.5000,-47.552036,-22.288797
-65.2500,-48.445251,-22.213814
-65.0000,-49.384571,-22.140526
-64.7500,-50.336349,-22.069229
-64.5000,-51.234211,-21.999985
-64.2500,-51.971069,-21.932993
-64.0000,-52.410358,-21.868397
-63.7500,-52.448097,-21.806374
-63.5000,-52.078751,-21.747066
-63.2500,-51.405457,-21.690609
-63.0000,-50.560791,-21.637165
-62.7500,-49.658562,-21.586859
-62.5000,-48.767014,-21.539793
-62.2500,-47.921295,-21.496141
-62.0000,-47.137993,-21.455971
-61.7500,-46.421322,-21.419434
-61.5000,-45.771069,-21.386616
-61.2500,-45.184067,-21.357605
-61.0000,-44.656582,-21.332417
-60.7500,-44.183594,-21.311253
-60.5000,-43.761745,-21.294071
-60.2500,-43.386765,-21.280920
-60.0000,-43.055244,-21.271914
-59.7500,-42.763916,-21.267029
-59.5000,-42.509769,-21.266272
-59.2500,-42.289955,-21.269619
-59.0000,-42.101303,-21.277124
-58.7500,-41.941570,-21.288704
-58.5000,-41.807419,-21.304344
-58.2500,-41.696327,-21.323959
-58.0000,-41.604706,-21.347511
-57.7500,-41.530083,-21.374882
-57.5000,-41.468307,-21.405987
-57.2500,-41.416035,-21.440668
-57.0000,-41.369278,-21.478786
-56.7500,-41.323757,-21.520199
-56.5000,-41.275452,-21.564768
-56.2500,-41.220306,-21.612167
-56.0000,-41.153870,-21.662296
-55.7500,-41.073006,-21.714909
-55.5000,-40.974518,-21.769718
-55.2500,-40.856163,-21.826456
-55.0000,-40.716682,-21.884872
-54.7500,-40.555759,-21.944576
-54.5000,-40.374393,-22.005251
-54.2500,-40.173820,-22.066603
-54.0000,-39.956810,-22.128180
-53.7500,-39.725998,-22.189657
-53.5000,-39.485165,-22.250593
-53.2500,-39.237419,-22.310570
-53.0000,-38.986477,-22.369156
-52.7500,-38.735680,-22.425903
-52.5000,-38.488060,-22.480331
-52.2500,-38.246494,-22.532032
-52.0000,-38.013561,-22.580549
-51.7500,-37.791218,-22.625418
-51.5000,-37.581631,-22.666153
-51.2500,-37.386047,-22.702438
-51.0000,-37.205959,-22.733831
-50.7500,-37.042503,-22.760021
-50.5000,-36.896416,-22.780664
-50.2500,-36.768547,-22.795540
-50.0000,-36.659336,-22.804510
-49.7500,-36.569374,-22.807350
-49.5000,-36.499069,-22.804136
-49.2500,-36.448433,-22.794834
-49.0000,-36.417850,-22.779589
-48.7500,-36.407402,-22.758539
-48.5000,-36.416920,-22.732037
-48.2500,-36.446339,-22.700439
-48.0000,-36.495518,-22.664082
-47.7500,-36.563992,-22.623480
-47.5000,-36.651402,-22.579157
-47.2500,-36.757057,-22.531723
-47.0000,-36.880104,-22.481781
-46.7500,-37.019394,-22.429903
-46.5000,-37.173855,-22.376793
-46.2500,-37.341522,-22.323063
-46.0000,-37.520676,-22.269346
-45.7500,-37.709068,-22.216204
-45.5000,-37.903904,-22.164303
-45.2500,-38.102566,-22.114117
-45.0000,-38.301945,-22.066135
-44.7500,-38.498684,-22.020838
-44.5000,-38.689590,-21.978603
-44.2500,-38.871655,-21.939867
-44.0000,-39.042709,-21.904755
-43.7500,-39.200493,-21.873590
-43.5000,-39.344303,-21.846495
-43.2500,-39.473873,-21.823669
-43.0000,-39.590260,-21.804928
-42.7500,-39.695660,-21.790451
-42.5000,-39.792526,-21.780022
-42.2500,-39.884750,-21.773539
-42.0000,-39.976078,-21.770792
-41.7500,-40.070450,-21.771412
-41.5000,-40.171833,-21.775171
-41.2500,-40.283657,-21.781672
-41.0000,-40.407871,-21.790432
-40.7500,-40.546989,-21.800993
-40.5000,-40.700531,-21.812830
-40.2500,-40.867546,-21.825436
-40.0000,-41.044609,-21.838230
-39.7500,-41.226486,-21.850609
-39.5000,-41.405163,-21.861977
-39.2500,-41.570442,-21.871708
-39.0000,-41.710487,-21.879320
-38.7500,-41.812290,-21.884167
-38.5000,-41.863800,-21.885817
-38.2500,-41.855644,-21.883718
-38.0000,-41.783203,-21.877554
-37.7500,-41.647926,-21.866924
-37.5000,-41.457222,-21.851559
-37.2500,-41.223087,-21.831388
-37.0000,-40.960842,-21.806187
-36.7500,-40.686611,-21.776089
-36.5000,-40.415962,-21.741215
-36.2500,-40.163151,-21.701740
-36.0000,-39.940506,-21.658089
-35.7500,-39.758457,-21.610638
-35.5000,-39.626297,-21.559940
-35.2500,-39.552055,-21.506636
-35.0000,-39.543186,-21.451321
-34.7500,-39.607155,-21.394918
-34.5000,-39.751877,-21.338127
-34.2500,-39.985954,-21.281889
-34.0000,-40.320099,-21.226982
-33.7500,-40.767097,-21.174473
-33.5000,-41.343479,-21.125183
-33.2500,-42.071976,-21.080034
-33.0000,-42.982563,-21.039967
-32.7500,-44.118866,-21.005831
-32.5000,-45.543076,-20.978481
-32.2500,-47.346550,-20.958635
-32.0000,-49.645988,-20.947067
-31.7500,-52.453377,-20.944422
-31.5000,-54.783180,-20.951275
-31.2500,-53.932690,-20.968102
-31.0000,-50.986176,-20.995291
-30.7500,-48.218925,-21.033096
-30.5000,-45.994434,-21.081697
-30.2500,-44.218117,-21.141106
-30.0000,-42.782024,-21.211195
-29.7500,-41.608574,-21.291683
-29.5000,-40.645042,-21.382132
-29.2500,-39.855236,-21.481899
-29.0000,-39.213402,-21.590178
-28.7500,-38.701492,-21.705923
-28.5000,-38.305618,-21.827944
-28.2500,-38.016006,-21.954781
-28.0000,-37.824829,-22.084843
-27.7500,-37.726254,-22.216272
-27.5000,-37.715397,-22.347130
-27.2500,-37.787636,-22.475336
-27.0000,-37.938599,-22.598717
-26.7500,-38.162586,-22.715168
-26.5000,-38.452042,-22.822559
-26.2500,-38.795837,-22.918980
-26.0000,-39.177292,-23.002735
-25.7500,-39.572037,-23.072350
-25.5000,-39.946323,-23.126759
-25.2500,-40.257511,-23.165262
-25.0000,-40.459217,-23.187626
-24.7500,-40.511684,-23.193951
-24.5000,-40.395123,-23.184628
-24.2500,-40.116917,-23.160542
-24.0000,-39.708611,-23.122601
-23.7500,-39.213871,-23.072044
-23.5000,-38.676182,-23.010122
-23.2500,-38.131512,-22.938236
-23.0000,-37.606056,-22.857700
-22.7500,-37.117374,-22.769825
-22.5000,-36.676350,-22.675869
-22.2500,-36.289413,-22.577028
-22.0000,-35.959824,-22.474365
-21.7500,-35.688965,-22.368937
-21.5000,-35.477425,-22.261631
-21.2500,-35.324905,-22.153423
-21.0000,-35.230999,-22.045080
-20.7500,-35.195229,-21.937429
-20.5000,-35.217335,-21.831215
-20.2500,-35.297081,-21.727140
-20.0000,-35.434521,-21.625912
-19.7500,-35.630096,-21.528196
-19.5000,-35.884403,-21.434610
-19.2500,-36.198353,-21.345737
-19.0000,-36.573254,-21.262140
-18.7500,-37.010616,-21.184322
