row,col,sum_amp,sum_phase_deg,diff_amp,diff_phase_deg
0,0,0.00000000,-44.999978,0.00000000,135.000022
0,1,0.00000000,0.000000,0.00000000,-0.000000
0,2,0.00000000,-44.799426,0.00000000,134.272543
0,3,0.00000000,-134.740807,0.00000000,45.054616
0,4,0.00000000,134.904187,0.00000000,-42.558668
0,5,0.00000000,44.539174,0.00000000,-133.994907
0,6,0.00000001,-45.320212,0.00000001,132.257952
0,7,0.00000000,-0.000000,0.00000000,0.000000
0,8,0.00000001,134.917141,0.00000001,-50.512540
0,9,0.00000001,45.708280,0.00000001,-137.245849
0,10,0.00000002,-44.920126,0.00000002,135.010914
0,11,0.00000002,-134.908159,0.00000002,48.485433
0,12,0.00000002,135.655170,0.00000002,-38.240045
0,13,0.00000003,44.868687,0.00000003,-133.617506
0,14,0.00000003,-45.315366,0.00000003,126.331140
0,15,0.00000000,-0.000000,0.00000000,0.000000
0,16,0.00000000,180.000000,0.00000000,180.000000
0,17,0.00000003,44.989727,0.00000003,51.273714
0,18,0.00000000,0.000000,0.00000000,0.000000
0,19,0.00000002,-135.029214,0.00000002,-139.292630
0,20,0.00000002,134.716475,0.00000002,130.966902
0,21,0.00000002,45.780185,0.00000002,42.522107
0,22,0.00000001,-44.302320,0.00000001,-45.005779
0,23,0.00000001,-135.913884,0.00000001,-128.906752
0,24,0.00000001,134.587897,0.00000001,139.493632
0,25,0.00000001,45.007275,0.00000001,47.747266
0,26,0.00000000,-45.503268,0.00000000,-46.458888
0,27,0.00000000,-134.957065,0.00000000,-137.946713
0,28,0.00000000,135.514116,0.00000000,134.851634
0,29,0.00000000,45.188463,0.00000000,45.742812
0,30,0.00000000,0.000000,0.00000000,0.000000
0,31,0.00000000,44.999978,0.00000000,44.999978
1,0,0.00000000,134.971133,0.00000000,-45.043769
1,1,0.00001315,-162.581559,0.00002087,43.763990
1,2,0.00005152,120.698418,0.00008672,-42.704915
1,3,0.00014997,42.703659,0.00020305,-128.598204
1,4,0.00000000,0.000000,0.00000000,180.000000
1,5,0.00051886,-126.312087,0.00065744,37.806724
1,6,0.00068932,133.393147,0.00099346,-45.468070
1,7,0.00088688,40.667339,0.00135419,-122.804061
1,8,0.00118142,-42.345652,0.00177394,158.582715
1,9,0.00168593,-135.004588,0.00190560,57.421726
1,10,0.00232658,139.237843,0.00252506,-44.868168
1,11,0.00299765,49.200425,0.00337110,-147.412544
1,12,0.00307218,-44.111867,0.00370154,120.287878
1,13,0.00355168,-134.128316,0.00350813,37.827398
1,14,0.00377063,133.819839,0.00240411,-42.952206
1,15,0.00394781,43.411307,0.00246442,-117.273693
1,16,0.00375238,-45.121005,0.00231110,-62.823856
1,17,0.00348038,-135.702824,0.00231632,-150.996589
1,18,0.00318206,133.684806,0.00309969,132.270583
1,19,0.00000000,0.000000,0.00000000,0.000000
1,20,0.00283345,-44.617596,0.00342533,-30.767738
1,21,0.00203897,-137.510423,0.00208516,-118.965344
1,22,0.00190496,136.650769,0.00164310,139.935084
1,23,0.00166685,46.862482,0.00168507,34.931103
1,24,0.00000000,0.000000,0.00000000,0.000000
1,25,0.00057935,-133.387471,0.00097436,-131.041622
1,26,0.00000000,180.000000,0.00000000,180.000000
1,27,0.00022671,39.271570,0.00039284,45.639535
1,28,0.00015527,-61.953934,0.00020316,-48.460514
1,29,0.00007144,-172.770841,0.00008543,-133.771102
1,30,0.00001516,141.555209,0.00002065,139.898295
1,31,0.00000000,-135.096061,0.00000000,-134.965475
2,0,0.00000000,134.904667,0.00000000,-45.181712
2,1,0.00005431,-162.606476,0.00008720,43.709045
2,2,0.00021426,120.830111,0.00036179,-42.735454
2,3,0.00062538,42.671734,0.00084690,-128.582837
2,4,0.00135140,-27.174350,0.00164264,138.001580
2,5,0.00216346,-126.324599,0.00274084,37.792626
2,6,0.00000000,180.000000,0.00000000,0.000000
2,7,0.00369650,40.654111,0.00564572,-122.817206
2,8,0.00492426,-42.338554,0.00739581,158.589291
2,9,0.00702722,-135.000408,0.00794372,57.426968
2,10,0.00969740,139.241117,0.01052561,-44.861056
2,11,0.00000000,0.000000,0.00000000,-0.000000
2,12,0.01280631,-44.106464,0.01542969,120.285092
2,13,0.01480514,-134.133520,0.01462343,37.824302
2,14,0.01571797,133.817874,0.01002155,-42.976686
2,15,0.00000000,0.000000,0.00000000,-0.000000
2,16,0.01564103,-45.122517,0.00963341,-62.834979
2,17,0.01450721,-135.706118,0.00965453,-150.966256
2,18,0.01326380,133.689940,0.01291980,132.273492
2,19,0.01280872,45.355486,0.01438754,49.496711
2,20,0.01181158,-44.616423,0.01428064,-30.760697
2,21,0.00849938,-137.507646,0.00868680,-118.971246
2,22,0.00794091,136.655523,0.00684866,139.931367
2,23,0.00694846,46.850668,0.00702451,34.927002
2,24,0.00452590,-41.694211,0.00531326,-53.944166
2,25,0.00241442,-133.392559,0.00406204,-131.034072
2,26,0.00159956,146.631826,0.00272822,144.070638
2,27,0.00000000,0.000000,0.00000000,0.000000
2,28,0.00000000,0.000000,0.00000000,0.000000
2,29,0.00000000,-0.000000,0.00000000,-0.000000
2,30,0.00000000,180.000000,0.00000000,180.000000
2,31,0.00000000,-135.363199,0.00000000,-134.856404
3,0,0.00000000,134.830551,0.00000000,-45.431511
3,1,0.00012958,-162.600011,0.00020864,43.700372
3,2,0.00051228,120.863607,0.00086543,-42.741268
3,3,0.00149585,42.664160,0.00202576,-128.580153
3,4,0.00000000,0.000000,0.00000000,180.000000
3,5,0.00517467,-126.326967,0.00655546,37.789619
3,6,0.00686955,133.382312,0.00990585,-45.477183
3,7,0.00884080,40.651539,0.01350336,-122.819912
3,8,0.01177728,-42.337205,0.01768928,158.590544
3,9,0.01680694,-134.999630,0.01899932,57.427950
3,10,0.02319309,139.241722,0.02517433,-44.859734
3,11,0.02988687,49.203940,0.03360923,-147.422521
3,12,0.00000000,0.000000,0.00000000,180.000000
3,13,0.03540983,-134.134501,0.03497516,37.823726
3,14,0.00000000,180.000000,0.00000000,0.000000
3,15,0.03936676,43.409423,0.02457043,-117.258012
3,16,0.03740872,-45.122798,0.02304027,-62.837058
3,17,0.03469692,-135.706729,0.02309051,-150.960432
3,18,0.03172309,133.690938,0.03090006,132.274029
3,19,0.03063454,45.355836,0.03441040,49.497210
3,20,0.00000000,0.000000,0.00000000,0.000000
3,21,0.02032815,-137.507131,0.02077372,-118.972377
3,22,0.01899251,136.656405,0.01637984,139.930670
3,23,0.01661891,46.848109,0.01680083,34.926218
3,24,0.00000000,0.000000,0.00000000,0.000000
3,25,0.00577435,-133.393517,0.00971547,-131.032644
3,26,0.00382553,146.630250,0.00652529,144.071609
3,27,0.00225904,39.235166,0.00391735,45.610118
3,28,0.00154780,-61.888473,0.00202694,-48.480278
3,29,0.00071378,-172.772565,0.00085279,-133.724026
3,30,0.00015159,141.800432,0.00020653,139.995903
3,31,0.00000000,-135.776739,0.00000000,-134.657929
4,0,0.00000000,134.761566,0.00000000,-45.816739
4,1,0.00024734,-162.595884,0.00039871,43.696819
4,2,0.00097869,120.876687,0.00165366,-42.743338
4,3,0.00285817,42.661388,0.00387072,-128.579249
4,4,0.00617617,-27.176364,0.00750686,138.007066
4,5,0.00988735,-126.327779,0.01252550,37.788566
4,6,0.00000000,180.000000,0.00000000,0.000000
4,7,0.01689184,40.650637,0.02580088,-122.820860
4,8,0.02250251,-42.336743,0.03379896,158.590965
4,9,0.03211257,-134.999363,0.03630176,57.428281
4,10,0.04431438,139.241927,0.04810014,-44.859268
4,11,0.05710441,49.204126,0.06421656,-147.423058
4,12,0.05852257,-44.105093,0.07051089,120.284400
4,13,0.06765697,-134.134838,0.06682641,37.823525
4,14,0.07182853,133.817383,0.04579691,-42.982869
4,15,0.07521826,43.409320,0.04694637,-117.257176
4,16,0.07147601,-45.122892,0.04402254,-62.837775
4,17,0.06629462,-135.706941,0.04411836,-150.958421
4,18,0.00000000,180.000000,0.00000000,180.000000
4,19,0.05853266,45.355958,0.06574697,49.497398
4,20,0.05397729,-44.616128,0.06526317,-30.758894
4,21,0.03884065,-137.506957,0.03969009,-118.972771
4,22,0.03628870,136.656712,0.03129651,139.930426
4,23,0.03175355,46.847190,0.03210116,34.925952
4,24,0.02068364,-41.695418,0.02428130,-53.940063
4,25,0.01103277,-133.393847,0.01856331,-131.032149
4,26,0.00730927,146.629708,0.01246784,144.071947
4,27,0.00431617,39.233075,0.00748488,45.608552
4,28,0.00295731,-61.883609,0.00387298,-48.481252
4,29,0.00136403,-172.772068,0.00162951,-133.721564
4,30,0.00028971,141.817737,0.00039468,140.001533
4,31,0.00000000,-136.337137,0.00000000,-134.349413
5,0,0.00000000,134.699374,0.00000000,-46.360017
5,1,0.00041611,-162.593615,0.00067114,43.694777
5,2,0.00000000,180.000000,0.00000000,0.000000
5,3,0.00481083,42.660112,0.00651516,-128.578853
5,4,0.01039560,-27.176599,0.01263533,138.007683
5,5,0.01664215,-126.328143,0.02108253,37.788088
5,6,0.00000000,180.000000,0.00000000,0.000000
5,7,0.02843162,40.650240,0.04342726,-122.821293
5,8,0.00000000,0.000000,0.00000000,180.000000
5,9,0.05405056,-134.999243,0.06110181,57.428438
5,10,0.07458808,139.242021,0.08096035,-44.859065
5,11,0.09611607,49.204210,0.10808689,-147.423293
5,12,0.09850299,-44.104935,0.11868128,120.284321
5,13,0.11387768,-134.134991,0.11247968,37.823441
5,14,0.12089912,133.817327,0.07708369,-42.983579
5,15,0.12660522,43.409271,0.07901841,-117.256792
5,16,0.12030559,-45.122934,0.07409700,-62.838096
5,17,0.00000000,-0.000000,0.00000000,-0.000000
5,18,0.10202073,133.691438,0.09937344,132.274292
5,19,0.09851980,45.356009,0.11066254,49.497469
5,20,0.09085265,-44.616100,0.10984918,-30.758687
5,21,0.06537512,-137.506876,0.06680342,-118.972948
5,22,0.06107981,136.656851,0.05267699,139.930314
5,23,0.05344644,46.846773,0.05403153,34.925825
5,24,0.03481415,-41.695559,0.04086949,-53.939574
5,25,0.01856980,-133.393990,0.03124516,-131.031927
5,26,0.01230261,146.629465,0.02098546,144.072089
5,27,0.00726471,39.232137,0.01259833,45.607853
5,28,0.00497758,-61.881353,0.00651895,-48.481687
5,29,0.00229608,-172.771811,0.00274281,-133.720449
5,30,0.00048768,141.825780,0.00066436,140.004444
5,31,0.00000000,-137.051134,0.00000000,-133.909217
6,0,0.00000001,134.643488,0.00000001,-47.076231
6,1,0.00064204,-162.592315,0.00103586,43.693459
6,2,0.00254222,120.886186,0.00429596,-42.744779
6,3,0.00742494,42.659453,0.01005540,-128.578644
6,4,0.01604436,-27.176715,0.01950106,138.007992
6,5,0.02568514,-126.328334,0.03253824,37.787842
6,6,0.03409446,133.381438,0.04916794,-45.478026
6,7,0.04388048,40.650031,0.06702457,-122.821512
6,8,0.05845558,-42.336426,0.08780173,158.591254
6,9,0.08342003,-134.999184,0.09430288,57.428514
6,10,0.11511701,139.242068,0.12495195,-44.858967
6,11,0.14834290,49.204258,0.16681830,-147.423414
6,12,0.15202677,-44.104854,0.18316937,120.284281
6,13,0.17575564,-134.135066,0.17359800,37.823398
6,14,0.18659236,133.817300,0.11896885,-42.983941
6,15,0.19539949,43.409247,0.12195485,-117.256593
6,16,0.18567618,-45.122955,0.11435919,-62.838258
6,17,0.17221626,-135.707081,0.11460779,-150.957050
6,18,0.15745587,133.691522,0.15337001,132.274344
6,19,0.15205256,45.356034,0.17079323,49.497514
6,20,0.14021952,-44.616075,0.16953869,-30.758584
6,21,0.10089814,-137.506834,0.10310135,-118.973039
6,22,0.09426889,136.656916,0.08130009,139.930262
6,23,0.08248780,46.846558,0.08339082,34.925769
6,24,0.05373137,-41.695630,0.06307695,-53.939316
6,25,0.02866001,-133.394066,0.04822298,-131.031817
6,26,0.01898744,146.629342,0.03238843,144.072165
6,27,0.01121206,39.231652,0.01944396,45.607496
6,28,0.00768223,-61.880172,0.01006126,-48.481908
6,29,0.00354386,-172.771673,0.00423323,-133.719888
6,30,0.00075272,141.830018,0.00102540,140.006158
6,31,0.00000001,-137.909576,0.00000001,-133.319629
7,0,0.00000001,134.594212,0.00000001,-47.966579
7,1,0.00092654,-162.591534,0.00149515,43.692572
7,2,0.00366929,120.888087,0.00620067,-42.745056
7,3,0.01071690,42.659072,0.01451363,-128.578530
7,4,0.02315784,-27.176785,0.02814708,138.008174
7,5,0.03707300,-126.328438,0.04696443,37.787703
7,6,0.04921028,133.381376,0.07096707,-45.478089
7,7,0.06333525,40.649915,0.09674067,-122.821635
