theta_deg,sum_db,diff_db
-90.0000,-35.012375,-22.698143
-89.7500,-35.012325,-22.697517
-89.5000,-35.012325,-22.695559
-89.2500,-35.012287,-22.692307
-89.0000,-35.012192,-22.687777
-88.7500,-35.012070,-22.681938
-88.5000,-35.011955,-22.674820
-88.2500,-35.011810,-22.666477
-88.0000,-35.011688,-22.656858
-87.7500,-35.011658,-22.645941
-87.5000,-35.011566,-22.633827
-87.2500,-35.011589,-22.620472
-87.0000,-35.011715,-22.605911
-86.7500,-35.011906,-22.590160
-86.5000,-35.012272,-22.573303
-86.2500,-35.012657,-22.555254
-86.0000,-35.013294,-22.536076
-85.7500,-35.014164,-22.515793
-85.5000,-35.015175,-22.494453
-85.2500,-35.016533,-22.472057
-85.0000,-35.018169,-22.448689
-84.7500,-35.020103,-22.424297
-84.5000,-35.022427,-22.398947
-84.2500,-35.025124,-22.372683
-84.0000,-35.028320,-22.345520
-83.7500,-35.032150,-22.317545
-83.5000,-35.036381,-22.288715
-83.2500,-35.041267,-22.259083
-83.0000,-35.046841,-22.228737
-82.7500,-35.053059,-22.197695
-82.5000,-35.060143,-22.165981
-82.2500,-35.068054,-22.133698
-82.0000,-35.076801,-22.100777
-81.7500,-35.086578,-22.067348
-81.5000,-35.097473,-22.033432
-81.2500,-35.109356,-21.999069
-81.0000,-35.122589,-21.964312
-80.7500,-35.136993,-21.929195
-80.5000,-35.152836,-21.893780
-80.2500,-35.170158,-21.858147
-80.0000,-35.189022,-21.822250
-79.7500,-35.209538,-21.786222
-79.5000,-35.231777,-21.750090
-79.2500,-35.255932,-21.713877
-79.0000,-35.281990,-21.677616
-78.7500,-35.310188,-21.641411
-78.5000,-35.340588,-21.605328
-78.2500,-35.373238,-21.569305
-78.0000,-35.408356,-21.533497
-77.7500,-35.446087,-21.497856
-77.5000,-35.486546,-21.462524
-77.2500,-35.529842,-21.427490
-77.0000,-35.576122,-21.392765
-76.7500,-35.625443,-21.358490
-76.5000,-35.678173,-21.324617
-76.2500,-35.734329,-21.291229
-76.0000,-35.794029,-21.258343
-75.7500,-35.857605,-21.226067
-75.5000,-35.924999,-21.194340
-75.2500,-35.996613,-21.163254
-75.0000,-36.072426,-21.132866
-74.7500,-36.152725,-21.103172
-74.5000,-36.237686,-21.074198
-74.2500,-36.327461,-21.046062
-74.0000,-36.422127,-21.018711
-73.7500,-36.522144,-20.992174
-73.5000,-36.627419,-20.966549
-73.2500,-36.738201,-20.941801
-73.0000,-36.854782,-20.918036
-72.7500,-36.977200,-20.895203
-72.5000,-37.105526,-20.873365
-72.2500,-37.240131,-20.852556
-72.0000,-37.380962,-20.832832
-71.7500,-37.528156,-20.814178
-71.5000,-37.681892,-20.796661
-71.2500,-37.842194,-20.780270
-71.0000,-38.008907,-20.765060
-70.7500,-38.182186,-20.751097
-70.5000,-38.361904,-20.738335
-70.2500,-38.547737,-20.726833
-70.0000,-38.739601,-20.716684
-69.7500,-38.937355,-20.707819
-69.5000,-39.140327,-20.700333
-69.2500,-39.348022,-20.694271
-69.0000,-39.559696,-20.689642
-68.7500,-39.774734,-20.686440
-68.5000,-39.991909,-20.684759
-68.2500,-40.210285,-20.684628
-68.0000,-40.428356,-20.686016
-67.7500,-40.644562,-20.688999
-67.5000,-40.857147,-20.693636
-67.2500,-41.064133,-20.699862
-67.0000,-41.263725,-20.707771
-66.7500,-41.453407,-20.717306
-66.5000,-41.631477,-20.728542
-66.2500,-41.795238,-20.741434
-66.0000,-41.943401,-20.755997
-65.7500,-42.073792,-20.772257
-65.5000,-42.185253,-20.790131
-65.2500,-42.276855,-20.809635
-65.0000,-42.348465,-20.830650
-64.7500,-42.400280,-20.853210
-64.5000,-42.433006,-20.877193
-64.2500,-42.448303,-20.902529
-64.0000,-42.447781,-20.929098
-63.7500,-42.434158,-20.956810
-63.5000,-42.409637,-20.985535
-63.2500,-42.377621,-21.015087
-63.0000,-42.340080,-21.045341
-62.7500,-42.300678,-21.076090
-62.5000,-42.262169,-21.107117
-62.2500,-42.227074,-21.138260
-62.0000,-42.198292,-21.169224
-61.7500,-42.178093,-21.199829
-61.5000,-42.169071,-21.229799
-61.2500,-42.173424,-21.258886
-61.0000,-42.193359,-21.286764
-60.7500,-42.230507,-21.313301
-60.5000,-42.287216,-21.338158
-60.2500,-42.365246,-21.361080
-60.0000,-42.466591,-21.381929
-59.7500,-42.593269,-21.400448
-59.5000,-42.747349,-21.416464
-59.2500,-42.931168,-21.429808
-59.0000,-43.146988,-21.440451
-58.7500,-43.397682,-21.448261
-58.5000,-43.686249,-21.453264
-58.2500,-44.016281,-21.455460
-58.0000,-44.391869,-21.454966
-57.7500,-44.818134,-21.451876
-57.5000,-45.300945,-21.446417
-57.2500,-45.847797,-21.438766
-57.0000,-46.467979,-21.429199
-56.7500,-47.173363,-21.418083
-56.5000,-47.979446,-21.405792
-56.2500,-48.907185,-21.392591
-56.0000,-49.985573,-21.379030
-55.7500,-51.255470,-21.365524
-55.5000,-52.778130,-21.352484
-55.2500,-54.647182,-21.340418
-55.0000,-57.006989,-21.329803
-54.7500,-60.030327,-21.321047
-54.5000,-63.382183,-21.314623
-54.2500,-63.875526,-21.311024
