theta_deg,sum_db,diff_db
-90.0000,-74.689857,-21.148159
-89.7500,-74.698273,-21.148050
-89.5000,-74.704597,-21.147642
-89.2500,-74.722519,-21.146975
-89.0000,-74.754776,-21.146065
-88.7500,-74.800995,-21.144865
-88.5000,-74.847450,-21.143415
-88.2500,-74.916801,-21.141756
-88.0000,-74.987801,-21.139828
-87.7500,-75.063774,-21.137615
-87.5000,-75.163162,-21.135189
-87.2500,-75.267059,-21.132519
-87.0000,-75.378487,-21.129618
-86.7500,-75.504623,-21.126497
-86.5000,-75.641426,-21.123211
-86.2500,-75.810867,-21.119690
-86.0000,-75.978195,-21.115963
-85.7500,-76.160019,-21.112061
-85.5000,-76.375031,-21.108006
-85.2500,-76.587662,-21.103771
-85.0000,-76.831154,-21.099434
-84.7500,-77.099701,-21.094942
-84.5000,-77.392578,-21.090332
-84.2500,-77.718758,-21.085625
-84.0000,-78.062317,-21.080839
-83.7500,-78.415993,-21.076023
-83.5000,-78.843002,-21.071138
-83.2500,-79.296577,-21.066198
-83.0000,-79.793098,-21.061291
-82.7500,-80.355003,-21.056404
-82.5000,-80.969849,-21.051563
-82.2500,-81.658508,-21.046831
-82.0000,-82.447502,-21.042139
-81.7500,-83.338150,-21.037594
-81.5000,-84.335434,-21.033199
-81.2500,-85.564651,-21.028984
-81.0000,-86.955856,-21.024979
-80.7500,-88.736832,-21.021221
-80.5000,-91.000336,-21.017735
-80.2500,-94.123955,-21.014595
-80.0000,-99.224480,-21.011751
-79.7500,-114.040062,-21.009329
-79.5000,-103.034622,-21.007313
-79.2500,-95.791740,-21.005747
-79.0000,-91.848511,-21.004646
-78.7500,-89.152000,-21.004105
-78.5000,-87.099495,-21.004173
-78.2500,-85.397079,-21.004803
-78.0000,-83.985001,-21.006109
-77.7500,-82.778717,-21.008072
-77.5000,-81.742188,-21.010811
-77.2500,-80.814140,-21.014309
-77.0000,-79.989288,-21.018583
-76.7500,-79.231575,-21.023758
-76.5000,-78.567497,-21.029797
-76.2500,-77.959808,-21.036774
-76.0000,-77.410545,-21.044678
-75.7500,-76.917030,-21.053658
-75.5000,-76.461655,-21.063606
-75.2500,-76.062164,-21.074635
-75.0000,-75.697929,-21.086784
-74.7500,-75.372787,-21.100040
-74.5000,-75.086861,-21.114426
-74.2500,-74.836746,-21.130049
-74.0000,-74.611855,-21.146830
-73.7500,-74.436447,-21.164783
-73.5000,-74.288589,-21.184004
-73.2500,-74.170891,-21.204405
-73.0000,-74.095436,-21.226084
-72.7500,-74.051834,-21.248959
-72.5000,-74.033287,-21.273031
-72.2500,-74.063080,-21.298306
-72.0000,-74.123962,-21.324797
-71.7500,-74.220566,-21.352427
-71.5000,-74.363220,-21.381191
-71.2500,-74.553162,-21.411016
-71.0000,-74.779182,-21.441870
-70.7500,-75.059387,-21.473743
-70.5000,-75.393867,-21.506489
-70.2500,-75.775650,-21.540058
-70.0000,-76.220634,-21.574423
-69.7500,-76.750786,-21.609411
-69.5000,-77.358917,-21.644962
-69.2500,-78.060768,-21.680992
-69.0000,-78.856590,-21.717375
-68.7500,-79.807304,-21.753914
-68.5000,-80.910461,-21.790558
-68.2500,-82.239365,-21.827168
-68.0000,-83.864716,-21.863483
-67.7500,-85.907890,-21.899450
-67.5000,-88.643265,-21.934914
-67.2500,-92.666885,-21.969597
-67.0000,-100.578949,-22.003433
-66.7500,-107.261169,-22.036116
-66.5000,-94.821251,-22.067554
-66.2500,-90.068703,-22.097519
-66.0000,-87.017586,-22.125816
-65.7500,-84.860214,-22.152327
-65.5000,-83.196976,-22.176783
-65.2500,-81.878860,-22.199051
-65.0000,-80.801910,-22.218861
-64.7500,-79.912674,-22.236166
-64.5000,-79.190430,-22.250732
-64.2500,-78.592194,-22.262421
-64.0000,-78.122223,-22.271084
-63.7500,-77.738525,-22.276623
-63.5000,-77.459053,-22.278938
-63.2500,-77.238914,-22.277899
-63.0000,-77.144745,-22.273493
-62.7500,-77.116539,-22.265629
-62.5000,-77.162384,-22.254284
-62.2500,-77.307762,-22.239504
-62.0000,-77.532959,-22.221243
-61.7500,-77.863419,-22.199602
-61.5000,-78.285950,-22.174646
-61.2500,-78.818443,-22.146461
-61.0000,-79.438713,-22.115082
-60.7500,-80.253632,-22.080795
-60.5000,-81.200020,-22.043678
-60.2500,-82.386230,-22.003862
-60.0000,-83.851692,-21.961679
-59.7500,-85.703217,-21.917259
-59.5000,-88.141014,-21.870857
-59.2500,-91.584785,-21.822672
-59.0000,-97.629784,-21.773060
-58.7500,-127.862732,-21.722198
-58.5000,-98.097672,-21.670414
-58.2500,-92.173950,-21.617947
-58.0000,-88.687286,-21.565128
-57.7500,-86.421394,-21.512201
-57.5000,-84.707253,-21.459476
-57.2500,-83.398476,-21.407177
-57.0000,-82.398666,-21.355589
-56.7500,-81.600052,-21.304987
-56.5000,-81.004326,-21.255653
-56.2500,-80.581665,-21.207703
-56.0000,-80.279114,-21.161478
-55.7500,-80.125114,-21.117165
-55.5000,-80.101311,-21.074932
-55.2500,-80.195953,-21.034977
-55.0000,-80.420105,-20.997469
-54.7500,-80.774582,-20.962502
-54.5000,-81.295540,-20.930195
-54.2500,-81.957733,-20.900717
-54.0000,-82.825890,-20.874058
-53.7500,-83.896530,-20.850336
-53.5000,-85.281059,-20.829556
-53.2500,-87.033905,-20.811731
-53.0000,-89.354469,-20.796873
-52.7500,-92.674171,-20.784931
-52.5000,-98.156250,-20.775835
-52.2500,-116.506531,-20.769554
-52.0000,-100.712021,-20.766003
-51.7500,-94.269272,-20.765030
-51.5000,-90.697083,-20.766487
-51.2500,-88.391373,-20.770285
-51.0000,-86.728424,-20.776213
-50.7500,-85.474998,-20.784121
-50.5000,-84.561844,-20.793783
-50.2500,-83.891594,-20.805012
-50.0000,-83.463577,-20.817625
-49.7500,-83.212387,-20.831320
-49.5000,-83.110588,-20.845945
-49.2500,-83.220810,-20.861233
-49.0000,-83.478745,-20.876961
-48.7500,-83.885918,-20.892857
-48.5000,-84.502251,-20.908745
-48.2500,-85.347610,-20.924423
-48.0000,-86.434341,-20.939600
-47.7500,-87.878433,-20.954109
-47.5000,-89.733917,-20.967747
-47.2500,-92.250053,-20.980368
-47.0000,-95.992546,-20.991819
-46.7500,-102.894897,-21.001909
-46.5000,-119.469795,-21.010580
-46.2500,-100.558205,-21.017721
-46.0000,-95.321182,-21.023256
-45.7500,-92.342850,-21.027092
-45.5000,-90.262360,-21.029293
-45.2500,-88.846825,-21.029793
-45.0000,-87.865837,-21.028597
-44.7500,-87.164467,-21.025776
-44.5000,-86.720016,-21.021368
-44.2500,-86.466431,-21.015549
-44.0000,-86.486343,-21.008265
-43.7500,-86.681763,-20.999739
-43.5000,-87.121460,-20.990038
-43.2500,-87.759239,-20.979412
-43.0000,-88.641960,-20.967819
-42.7500,-89.889099,-20.955591
-42.5000,-91.427612,-20.942783
-42.2500,-93.564690,-20.929607
-42.0000,-96.567070,-20.916237
-41.7500,-101.240585,-20.902748
-41.5000,-112.161140,-20.889393
-41.2500,-108.422546,-20.876295
-41.0000,-100.827179,-20.863579
-40.7500,-96.766800,-20.851383
-40.5000,-94.459198,-20.839832
-40.2500,-92.836998,-20.829077
-40.0000,-91.777939,-20.819218
-39.7500,-91.037598,-20.810329
-39.5000,-90.601311,-20.802500
-39.2500,-90.520813,-20.795780
-39.0000,-90.601517,-20.790308
-38.7500,-90.961952,-20.786047
-38.5000,-91.531158,-20.783123
-38.2500,-92.478104,-20.781498
-38.0000,-93.624657,-20.781271
-37.7500,-95.233269,-20.782404
-37.5000,-97.441437,-20.784889
-37.2500,-100.475937,-20.788826
-37.0000,-105.186554,-20.794065
-36.7500,-115.907974,-20.800703
-36.5000,-113.820648,-20.808699
-36.2500,-105.442276,-20.817984
-36.0000,-101.548477,-20.828602
-35.7500,-99.416031,-20.840462
-35.5000,-98.004257,-20.853542
-35.2500,-97.119507,-20.867807
-35.0000,-96.712280,-20.883106
-34.7500,-96.592819,-20.899517
-34.5000,-96.760117,-20.916842
-34.2500,-97.305344,-20.935057
-34.0000,-98.025963,-20.953957
-33.7500,-99.104538,-20.973534
-33.5000,-100.725853,-20.993597
-33.2500,-102.521431,-21.013964
-33.0000,-105.205849,-21.034508
-32.7500,-108.605835,-21.055023
-32.5000,-114.211548,-21.075323
-32.2500,-127.375114,-21.095114
-32.0000,-123.544991,-21.114208
-31.7500,-115.859161,-21.132332
-31.5000,-112.873718,-21.149223
-31.2500,-112.061630,-21.164572
-31.0000,-111.975853,-21.178122
-30.7500,-113.637428,-21.189548
-30.5000,-116.013802,-21.198595
-30.2500,-122.372925,-21.204964
-30.0000,-140.817688,-21.208412
-29.7500,-121.977142,-21.208683
-29.5000,-116.259781,-21.205576
-29.2500,-113.816689,-21.198910
-29.0000,-112.028915,-21.188572
-28.7500,-112.552155,-21.174435
-28.5000,-113.160645,-21.156519
-28.2500,-116.261261,-21.134815
-28.0000,-123.530006,-21.109436
-27.7500,-123.499565,-21.080479
-27.5000,-112.509499,-21.048185
-27.2500,-107.609741,-21.012817
-27.0000,-104.084274,-20.974672
-26.7500,-101.701859,-20.934162
-26.5000,-99.900444,-20.891666
-26.2500,-98.526520,-20.847660
-26.0000,-97.524841,-20.802641
-25.7500,-96.891670,-20.757088
-25.5000,-96.618225,-20.711521
-25.2500,-96.715195,-20.666443
-25.0000,-97.175323,-20.622398
-24.7500,-98.257256,-20.579891
-24.5000,-100.017395,-20.539320
-24.2500,-103.105392,-20.501190
-24.0000,-109.082794,-20.465824
-23.7500,-126.402557,-20.433598
-23.5000,-106.254303,-20.404747
-23.2500,-100.519577,-20.379534
-23.0000,-97.053673,-20.358097
-22.7500,-94.710846,-20.340523
-22.5000,-93.060226,-20.326847
-22.2500,-91.835716,-20.317043
-22.0000,-91.013245,-20.311001
-21.7500,-90.616928,-20.308588
-21.5000,-90.498474,-20.309561
-21.2500,-90.767303,-20.313747
-21.0000,-91.452248,-20.320805
-20.7500,-92.712830,-20.330458
-20.5000,-94.697350,-20.342386
-20.2500,-97.973999,-20.356232
-20.0000,-104.676895,-20.371702
-19.7500,-116.539070,-20.388487
-19.5000,-100.650444,-20.406284
-19.2500,-95.283096,-20.424850
-19.0000,-92.082909,-20.443981
-18.7500,-89.936127,-20.463503
-18.5000,-88.396461,-20.483303
-18.2500,-87.368042,-20.503290
-18.0000,-86.717392,-20.523443
-17.7500,-86.444008,-20.543812
-17.5000,-86.537102,-20.564415
-17.2500,-87.023018,-20.585354
-17.0000,-87.957413,-20.606724
-16.7500,-89.516716,-20.628643
-16.5000,-92.044052,-20.651188
-16.2500,-96.365463,-20.674458
-16.0000,-107.821007,-20.698448
-15.7500,-102.243744,-20.723198
-15.5000,-94.077286,-20.748575
-15.2500,-89.984169,-20.774467
-15.0000,-87.377098,-20.800644
-14.7500,-85.591354,-20.826763
-14.5000,-84.368217,-20.852449
-14.2500,-83.590103,-20.877243
-14.0000,-83.201172,-20.900558
-13.7500,-83.177399,-20.921801
-13.5000,-83.554291,-20.940332
-13.2500,-84.368217,-20.955482
-13.0000,-85.758987,-20.966599
-12.7500,-88.001724,-20.973080
-12.5000,-91.778648,-20.974373
-12.2500,-100.110123,-20.970060
-12.0000,-102.874641,-20.959866
-11.7500,-92.112167,-20.943678
-11.5000,-87.516418,-20.921539
-11.2500,-84.677315,-20.893805
-11.0000,-82.759392,-20.860960
-10.7500,-81.453049,-20.823774
-10.5000,-80.607216,-20.783257
-10.2500,-80.171700,-20.740606
-10.0000,-80.116280,-20.697229
-9.7500,-80.460121,-20.654736
-9.5000,-81.255836,-20.614845
-9.2500,-82.621849,-20.579422
-9.0000,-84.829948,-20.550394
-8.7500,-88.543579,-20.529747
-8.5000,-96.604691,-20.519468
-8.2500,-100.352722,-20.521563
-8.0000,-89.210220,-20.537970
-7.7500,-84.525063,-20.570557
-7.5000,-81.664078,-20.621126
-7.2500,-79.740967,-20.691374
-7.0000,-78.430336,-20.782841
-6.7500,-77.596481,-20.896976
-6.5000,-77.171997,-21.035059
-6.2500,-77.137245,-21.198206
-6.0000,-77.509468,-21.387384
-5.7500,-78.348816,-21.603333
-5.5000,-79.780800,-21.846647
-5.2500,-82.096321,-22.117691
-5.0000,-86.067184,-22.416574
-4.7500,-95.281685,-22.743208
-4.5000,-95.042946,-23.097225
-4.2500,-85.429611,-23.477978
-4.0000,-81.056969,-23.884554
-3.7500,-78.325211,-24.315729
-3.5000,-76.481018,-24.769958
-3.2500,-75.232285,-25.245468
-3.0000,-74.453323,-25.740135
-2.7500,-74.080215,-26.251677
-2.5000,-74.102310,-26.777613
-2.2500,-74.539200,-27.315445
-2.0000,-75.462570,-27.862757
-1.7500,-77.025063,-28.417377
-1.5000,-79.562462,-28.977592
-1.2500,-84.057373,-29.542467
-1.0000,-96.397408,-30.112001
-0.7500,-88.962311,-30.687492
-0.5000,-81.172653,-31.271830
-0.2500,-77.221291,-31.869764
0.0000,-74.688805,-32.488281
0.2500,-72.965233,-33.136929
0.5000,-71.805008,-33.828346
0.7500,-71.096466,-34.578987
1.0000,-70.790390,-35.410164
1.2500,-70.881828,-36.349968
1.5000,-71.397507,-37.436718
1.7500,-72.422493,-38.725006
2.0000,-74.133820,-40.298138
2.2500,-76.945618,-42.296272
2.5000,-82.145805,-44.989670
2.7500,-103.159225,-49.033257
3.0000,-83.272919,-57.017136
3.2500,-76.762131,-62.875591
3.5000,-73.176895,-51.007404
3.7500,-70.827049,-46.296089
4.0000,-69.215324,-43.406258
4.2500,-68.134949,-41.411228
4.5000,-67.489639,-39.982159
4.7500,-67.240753,-38.972424
5.0000,-67.387070,-38.313965
5.2500,-67.965645,-37.982639
5.5000,-69.074257,-37.988838
5.7500,-70.911896,-38.380798
6.0000,-73.962280,-39.266258
6.2500,-79.861267,-40.876053
6.5000,-102.097549,-43.782635
6.7500,-78.161346,-50.126801
7.0000,-72.373817,-59.464470
7.2500,-69.027199,-44.282169
7.5000,-66.796082,-38.383823
7.7500,-65.255020,-34.473545
8.0000,-64.221237,-31.481709
8.2500,-63.610249,-29.031998
8.5000,-63.388771,-26.946772
8.7500,-63.559193,-25.127533
9.0000,-64.163750,-23.513706
9.2500,-65.301323,-22.065273
9.5000,-67.183289,-20.754246
9.7500,-70.320183,-19.560240
10.0000,-76.486916,-18.467920
10.2500,-93.340111,-17.465389
10.5000,-73.865372,-16.543226
10.7500,-68.276779,-15.693806
11.0000,-65.002548,-14.910843
11.2500,-62.810139,-14.189095
11.5000,-61.292694,-13.524073
11.7500,-60.277134,-12.911922
12.0000,-59.681263,-12.349258
12.2500,-59.472004,-11.833076
12.5000,-59.652443,-11.360638
12.7500,-60.260918,-10.929437
13.0000,-61.390747,-10.537107
13.2500,-63.236092,-10.181393
13.5000,-66.250122,-9.860092
13.7500,-71.900223,-9.571011
14.0000,-121.720039,-9.311941
14.2500,-71.677696,-9.080607
14.5000,-65.732887,-8.874639
14.7500,-62.460548,-8.691545
15.0000,-60.390404,-8.528689
15.2500,-59.080200,-8.383270
15.5000,-58.351765,-8.252308
15.7500,-58.133728,-8.132646
16.0000,-58.419361,-8.020950
16.2500,-59.251740,-7.913751
16.5000,-60.737232,-7.807467
16.7500,-63.089569,-7.698469
17.0000,-66.746948,-7.583152
17.2500,-72.784531,-7.458031
17.5000,-85.524284,-7.319850
17.7500,-96.141968,-7.165682
18.0000,-81.021202,-6.993062
18.2500,-67.076149,-6.800070
18.5000,-58.914036,-6.585430
18.7500,-52.927208,-6.348567
19.0000,-48.127399,-6.089637
19.2500,-44.088936,-5.809513
19.5000,-40.586697,-5.509746
19.7500,-37.486526,-5.192497
20.0000,-34.701752,-4.860418
20.2500,-32.172829,-4.516569
20.5000,-29.857002,-4.164291
20.7500,-27.722483,-3.807096
21.0000,-25.744905,-3.448564
21.2500,-23.905146,-3.092260
21.5000,-22.187927,-2.741663
21.7500,-20.580791,-2.400126
22.0000,-19.073484,-2.070830
22.2500,-17.657389,-1.756777
22.5000,-16.325243,-1.460773
22.7500,-15.070859,-1.185460
23.0000,-13.888847,-0.933289
23.2500,-12.774588,-0.706581
23.5000,-11.724010,-0.507532
23.7500,-10.733552,-0.338257
24.0000,-9.800057,-0.200808
24.2500,-8.920705,-0.097227
24.5000,-8.092984,-0.029577
24.7500,-7.314656,0.000000
25.0000,-6.583704,-0.010763
25.2500,-5.898295,-0.064314
25.5000,-5.256780,-0.163371
25.7500,-4.657657,-0.311000
26.0000,-4.099560,-0.510732
26.2500,-3.581254,-0.766710
26.5000,-3.101607,-1.083873
26.7500,-2.659580,-1.468236
27.0000,-2.254231,-1.927232
27.2500,-1.884693,-2.470254
27.5000,-1.550176,-3.109420
27.7500,-1.249955,-3.860767
28.0000,-0.983374,-4.746159
28.2500,-0.749829,-5.796495
28.5000,-0.548772,-7.057534
28.7500,-0.379705,-8.601211
29.0000,-0.242179,-10.550356
29.2500,-0.135788,-13.141941
29.5000,-0.060168,-16.935108
29.7500,-0.015000,-23.934385
30.0000,0.000000,-36.236855
30.2500,-0.014924,-20.525949
30.5000,-0.059564,-15.289938
30.7500,-0.133749,-12.093705
31.0000,-0.237338,-9.812490
31.2500,-0.370234,-8.058843
31.5000,-0.532366,-6.652464
31.7500,-0.723707,-5.494551
32.0000,-0.944256,-4.525068
32.2500,-1.194053,-3.704712
32.5000,-1.473173,-3.006338
32.7500,-1.781722,-2.410403
33.0000,-2.119869,-1.902285
33.2500,-2.487791,-1.470833
33.5000,-2.885726,-1.107245
33.7500,-3.313955,-0.804477
34.0000,-3.772799,-0.556784
34.2500,-4.262644,-0.359385
34.5000,-4.783906,-0.208265
34.7500,-5.337085,-0.099986
35.0000,-5.922725,-0.031575
35.2500,-6.541433,-0.000425
35.5000,-7.193930,-0.004224
35.7500,-7.880969,-0.040896
36.0000,-8.603416,-0.108557
36.2500,-9.362248,-0.205476
36.5000,-10.158516,-0.330040
36.7500,-10.993451,-0.480746
37.0000,-11.868383,-0.656163
37.2500,-12.784801,-0.854923
37.5000,-13.744397,-1.075707
37.7500,-14.749084,-1.317236
38.0000,-15.800953,-1.578252
38.2500,-16.902439,-1.857530
38.5000,-18.056282,-2.153851
38.7500,-19.265572,-2.466003
39.0000,-20.533953,-2.792809
39.2500,-21.865446,-3.133066
39.5000,-23.264927,-3.485621
39.7500,-24.737932,-3.849311
40.0000,-26.291012,-4.222990
40.2500,-27.932051,-4.605556
40.5000,-29.670391,-4.995924
40.7500,-31.517555,-5.393055
41.0000,-33.487579,-5.795980
41.2500,-35.598274,-6.203750
41.5000,-37.872223,-6.615532
41.7500,-40.339108,-7.030537
42.0000,-43.038826,-7.448096
42.2500,-46.027237,-7.867627
42.5000,-49.384888,-8.288680
42.7500,-53.237061,-8.710892
43.0000,-57.793022,-9.134048
43.2500,-63.443340,-9.558042
43.5000,-71.091682,-9.982889
43.7500,-83.965469,-10.408743
44.0000,-97.224464,-10.835876
44.2500,-98.008606,-11.264618
44.5000,-79.033600,-11.695490
44.7500,-71.763054,-12.129010
45.0000,-67.338493,-12.565837
45.2500,-64.315979,-13.006639
45.5000,-62.157253,-13.452147
45.7500,-60.597504,-13.903136
46.0000,-59.489941,-14.360359
46.2500,-58.744499,-14.824568
46.5000,-58.303944,-15.296492
46.7500,-58.136543,-15.776789
47.0000,-58.223305,-16.266062
47.2500,-58.560337,-16.764841
47.5000,-59.155735,-17.273497
47.7500,-60.032753,-17.792261
48.0000,-61.242935,-18.321211
48.2500,-62.875000,-18.860199
48.5000,-65.103111,-19.408918
48.7500,-68.319603,-19.966652
49.0000,-73.667625,-20.532459
49.2500,-90.257614,-21.105003
49.5000,-76.954140,-21.682558
49.7500,-70.263458,-22.262928
50.0000,-66.736267,-22.843456
50.2500,-64.432434,-23.420752
50.5000,-62.806252,-23.991117
50.7500,-61.620201,-24.550144
51.0000,-60.758595,-25.092823
51.2500,-60.148159,-25.613729
51.5000,-59.747017,-26.106983
51.7500,-59.528179,-26.566698
52.0000,-59.472752,-26.986748
52.2500,-59.569187,-27.361301
52.5000,-59.816360,-27.685436
52.7500,-60.212051,-27.954758
53.0000,-60.762512,-28.166311
53.2500,-61.478024,-28.318581
53.5000,-62.381214,-28.411346
53.7500,-63.503262,-28.446215
54.0000,-64.896965,-28.426128
54.2500,-66.645088,-28.355066
54.5000,-68.907478,-28.238153
54.7500,-72.015305,-28.081112
55.0000,-76.855751,-27.889891
55.2500,-88.246803,-27.670330
55.5000,-84.057755,-27.428555
55.7500,-75.972855,-27.169765
56.0000,-72.076332,-26.898977
56.2500,-69.586388,-26.620678
56.5000,-67.814781,-26.338806
56.7500,-66.500610,-26.056650
57.0000,-65.509460,-25.777058
57.2500,-64.758011,-25.502403
57.5000,-64.199020,-25.234566
57.7500,-63.802601,-24.975111
58.0000,-63.544308,-24.725237
58.2500,-63.413422,-24.485844
58.5000,-63.394905,-24.257650
58.7500,-63.487106,-24.041134
59.0000,-63.680611,-23.836510
59.2500,-63.975597,-23.643963
59.5000,-64.378883,-23.463514
59.7500,-64.893219,-23.295147
60.0000,-65.523163,-23.138550
60.2500,-66.281044,-22.993549
60.5000,-67.190872,-22.859945
60.7500,-68.266891,-22.737247
61.0000,-69.555389,-22.625137
61.2500,-71.119095,-22.523233
61.5000,-73.065239,-22.431059
61.7500,-75.587761,-22.348166
62.0000,-79.137840,-22.274143
62.2500,-85.091782,-22.208389
62.5000,-113.349091,-22.150595
62.7500,-86.126320,-22.100151
63.0000,-80.115540,-22.056610
63.2500,-76.760452,-22.019512
63.5000,-74.475105,-21.988335
63.7500,-72.794991,-21.962626
64.0000,-71.491684,-21.941952
64.2500,-70.462845,-21.925831
64.5000,-69.640205,-21.913794
64.7500,-68.977142,-21.905453
65.0000,-68.446289,-21.900301
65.2500,-68.030624,-21.898106
65.5000,-67.721909,-21.898331
65.7500,-67.487915,-21.900639
66.0000,-67.333473,-21.904686
66.2500,-67.251244,-21.910164
66.5000,-67.240860,-21.916729
66.7500,-67.284134,-21.924103
67.0000,-67.396713,-21.931944
67.2500,-67.558891,-21.940126
67.5000,-67.786743,-21.948278
67.7500,-68.069313,-21.956213
68.0000,-68.404755,-21.963844
68.2500,-68.808929,-21.970881
68.5000,-69.270386,-21.977211
68.7500,-69.796860,-21.982718
69.0000,-70.397636,-21.987305
