row,col,sum_amp,sum_phase_deg,diff_amp,diff_phase_deg
0,0,0.00000000,-44.999978,0.00000000,135.000022
0,1,0.00000000,44.999983,0.00000000,-135.098921
0,2,0.00000000,-44.999945,0.00000000,134.296034
0,3,0.00000000,-134.999978,0.00000000,45.077010
0,4,0.00000000,134.999981,0.00000000,-43.228993
0,5,0.00000000,45.000055,0.00000000,-134.119013
0,6,0.00000001,-44.999981,0.00000001,133.598637
0,7,0.00000001,-134.999964,0.00000001,41.554071
0,8,0.00000001,135.000003,0.00000001,-47.629907
0,9,0.00000001,45.000018,0.00000001,-135.864487
0,10,0.00000002,-44.999964,0.00000002,136.496220
0,11,0.00000002,-134.999997,0.00000002,46.649742
0,12,0.00000002,135.000018,0.00000002,-42.737765
0,13,0.00000003,45.000008,0.00000003,-134.948678
0,14,0.00000003,-45.000002,0.00000003,130.785345
0,15,0.00000003,-134.999998,0.00000003,44.764952
0,16,0.00000003,134.999998,0.00000003,135.235050
0,17,0.00000003,45.000002,0.00000003,49.214655
0,18,0.00000003,-45.000005,0.00000003,-45.051322
0,19,0.00000002,-135.000018,0.00000002,-137.262239
0,20,0.00000002,135.000000,0.00000002,133.350255
0,21,0.00000002,44.999966,0.00000002,43.503783
0,22,0.00000001,-45.000018,0.00000001,-44.135513
0,23,0.00000001,-135.000000,0.00000001,-132.370093
0,24,0.00000001,134.999962,0.00000001,138.445924
0,25,0.00000001,44.999981,0.00000001,46.401361
0,26,0.00000000,-45.000057,0.00000000,-45.880985
0,27,0.00000000,-134.999983,0.00000000,-136.771006
0,28,0.00000000,134.999978,0.00000000,134.922990
0,29,0.00000000,44.999945,0.00000000,45.703966
0,30,0.00000000,-44.999983,0.00000000,-44.901078
0,31,0.00000000,44.999978,0.00000000,44.999978
1,0,0.00000000,135.000022,0.00000000,-44.940510
1,1,0.00001419,-135.000018,0.00001923,61.271746
1,2,0.00005917,135.000055,0.00008073,-24.355356
1,3,0.00014151,45.000021,0.00017985,-139.393045
1,4,0.00027038,-45.000017,0.00037436,117.517271
1,5,0.00045509,-134.999946,0.00062191,35.128754
1,6,0.00070238,135.000017,0.00093024,-43.568683
1,7,0.00101378,45.000037,0.00121809,-128.253867
1,8,0.00138372,-45.000000,0.00157118,144.660136
1,9,0.00179855,-134.999984,0.00191369,50.853360
1,10,0.00223686,135.000036,0.00245549,-50.300925
1,11,0.00267108,45.000004,0.00321337,-146.018536
1,12,0.00307020,-44.999982,0.00375881,127.363643
1,13,0.00340313,-134.999994,0.00344834,45.386429
1,14,0.00364240,134.999997,0.00248281,-37.877768
1,15,0.00376750,45.000003,0.00249864,-127.511609
1,16,0.00376750,-45.000003,0.00249864,-52.488370
1,17,0.00364240,-134.999997,0.00248281,-142.122258
1,18,0.00340313,134.999992,0.00344834,134.613560
1,19,0.00307020,44.999982,0.00375881,52.636357
1,20,0.00267108,-45.000002,0.00321337,-33.981472
1,21,0.00223685,-135.000036,0.00245550,-129.699069
1,22,0.00179855,134.999982,0.00191369,129.146652
1,23,0.00138372,44.999997,0.00157118,35.339866
1,24,0.00101378,-45.000035,0.00121809,-51.746119
1,25,0.00070238,-135.000020,0.00093024,-136.431305
1,26,0.00045509,134.999946,0.00062191,144.871246
1,27,0.00027038,45.000017,0.00037436,62.482732
1,28,0.00014151,-45.000023,0.00017985,-40.606948
1,29,0.00005917,-135.000055,0.00008073,-155.644658
1,30,0.00001419,135.000016,0.00001923,118.728247
1,31,0.00000000,-135.000022,0.00000000,-135.059490
2,0,0.00000000,135.000022,0.00000000,-44.755397
2,1,0.00005917,-135.000017,0.00008098,61.315793
2,2,0.00024663,135.000055,0.00033711,-24.353111
2,3,0.00058987,45.000022,0.00075133,-139.406899
2,4,0.00112705,-45.000017,0.00156124,117.516374
2,5,0.00189701,-134.999945,0.00259316,35.127173
2,6,0.00292778,135.000019,0.00387891,-43.573175
2,7,0.00422585,45.000036,0.00507790,-128.257372
2,8,0.00576791,-44.999997,0.00655020,144.661977
2,9,0.00749707,-134.999982,0.00797861,50.854699
2,10,0.00932411,135.000036,0.01023555,-50.299605
2,11,0.01113415,45.000000,0.01339470,-146.020700
2,12,0.01279784,-44.999982,0.01566856,127.363026
2,13,0.01418562,-134.999995,0.01437333,45.385826
2,14,0.01518297,134.999998,0.01034864,-37.891483
2,15,0.01570445,45.000002,0.01041490,-127.507186
2,16,0.01570445,-45.000002,0.01041490,-52.492804
2,17,0.01518297,-134.999998,0.01034863,-142.108534
2,18,0.01418562,134.999992,0.01437334,134.614169
2,19,0.01279784,44.999982,0.01566856,52.636978
2,20,0.01113415,-45.000003,0.01339470,-33.979298
2,21,0.00932411,-135.000036,0.01023556,-129.700390
2,22,0.00749706,134.999985,0.00797861,129.145321
2,23,0.00576791,44.999997,0.00655020,35.338022
2,24,0.00422584,-45.000036,0.00507790,-51.742622
2,25,0.00292778,-135.000019,0.00387890,-136.426814
2,26,0.00189700,134.999943,0.00259315,144.872839
2,27,0.00112705,45.000019,0.00156124,62.483644
2,28,0.00058987,-45.000022,0.00075133,-40.593095
2,29,0.00024663,-135.000055,0.00033711,-155.646909
2,30,0.00005917,135.000017,0.00008098,118.684202
2,31,0.00000000,-135.000022,0.00000000,-135.244603
3,0,0.00000000,135.000022,0.00000000,-44.427534
3,1,0.00014151,-135.000017,0.00019405,61.322771
