theta_deg,pattern_db
-90.0000,-33.638969
-89.7500,-33.637424
-89.5000,-33.632793
-89.2500,-33.625046
-89.0000,-33.614075
-88.7500,-33.599857
-88.5000,-33.582310
-88.2500,-33.561234
-88.0000,-33.536545
-87.7500,-33.508015
-87.5000,-33.475536
-87.2500,-33.438911
-87.0000,-33.397907
-86.7500,-33.352352
-86.5000,-33.302048
-86.2500,-33.246716
-86.0000,-33.186249
-85.7500,-33.120342
-85.5000,-33.048920
-85.2500,-32.971817
-85.0000,-32.888733
-84.7500,-32.799664
-84.5000,-32.704456
-84.2500,-32.603069
-84.0000,-32.495419
-83.7500,-32.381485
-83.5000,-32.261353
-83.2500,-32.134949
-83.0000,-32.002464
-82.7500,-31.863928
-82.5000,-31.719477
-82.2500,-31.569408
-82.0000,-31.413784
-81.7500,-31.252953
-81.5000,-31.087013
-81.2500,-30.916340
-81.0000,-30.741238
-80.7500,-30.561977
-80.5000,-30.378780
-80.2500,-30.192047
-80.0000,-30.002096
-79.7500,-29.809153
-79.5000,-29.613722
-79.2500,-29.415911
-79.0000,-29.216173
-78.7500,-29.014725
-78.5000,-28.811867
-78.2500,-28.607958
-78.0000,-28.403217
-77.7500,-28.197876
-77.5000,-27.992218
-77.2500,-27.786469
-77.0000,-27.580900
-76.7500,-27.375669
-76.5000,-27.171051
-76.2500,-26.967175
-76.0000,-26.764236
-75.7500,-26.562441
-75.5000,-26.361919
-75.2500,-26.162823
-75.0000,-25.965355
-74.7500,-25.769547
-74.5000,-25.575628
-74.2500,-25.383682
-74.0000,-25.193808
-73.7500,-25.006126
-73.5000,-24.820751
-73.2500,-24.637760
-73.0000,-24.457275
-72.7500,-24.279343
-72.5000,-24.104111
-72.2500,-23.931608
-72.0000,-23.761961
-71.7500,-23.595198
-71.5000,-23.431425
-71.2500,-23.270720
-71.0000,-23.113159
-70.7500,-22.958813
-70.5000,-22.807734
-70.2500,-22.660009
-70.0000,-22.515732
-69.7500,-22.374956
-69.5000,-22.237757
-69.2500,-22.104206
-69.0000,-21.974415
-68.7500,-21.848429
-68.5000,-21.726334
-68.2500,-21.608231
-68.0000,-21.494181
-67.7500,-21.384315
-67.5000,-21.278706
