theta_deg,pattern_db
-90.0000,-31.124964
-89.7500,-31.125454
-89.5000,-31.126917
-89.2500,-31.129314
-89.0000,-31.132645
-88.7500,-31.136826
-88.5000,-31.141830
-88.2500,-31.147610
-88.0000,-31.154034
-87.7500,-31.161081
-87.5000,-31.168579
-87.2500,-31.176435
-87.0000,-31.184521
-86.7500,-31.192707
-86.5000,-31.200806
-86.2500,-31.208658
-86.0000,-31.216085
-85.7500,-31.222862
-85.5000,-31.228848
-85.2500,-31.233707
-85.0000,-31.237288
-84.7500,-31.239349
-84.5000,-31.239569
-84.2500,-31.237728
-84.0000,-31.233524
-83.7500,-31.226734
-83.5000,-31.216991
-83.2500,-31.204082
-83.0000,-31.187660
-82.7500,-31.167524
-82.5000,-31.143330
-82.2500,-31.114855
-82.0000,-31.081821
-81.7500,-31.043995
-81.5000,-31.001163
-81.2500,-30.953152
-81.0000,-30.899792
-80.7500,-30.840939
-80.5000,-30.776463
-80.2500,-30.706301
-80.0000,-30.630444
-79.7500,-30.548801
-79.5000,-30.461498
-79.2500,-30.368519
-79.0000,-30.270006
-78.7500,-30.166092
-78.5000,-30.056879
-78.2500,-29.942616
-78.0000,-29.823502
-77.7500,-29.699776
-77.5000,-29.571669
-77.2500,-29.439476
-77.0000,-29.303493
-76.7500,-29.164001
-76.5000,-29.021341
-76.2500,-28.875811
-76.0000,-28.727730
-75.7500,-28.577362
-75.5000,-28.425104
-75.2500,-28.271183
-75.0000,-28.116001
-74.7500,-27.959732
-74.5000,-27.802769
-74.2500,-27.645306
-74.0000,-27.487659
-73.7500,-27.330059
-73.5000,-27.172764
-73.2500,-27.016008
-73.0000,-26.859970
-72.7500,-26.704903
-72.5000,-26.551006
-72.2500,-26.398460
-72.0000,-26.247452
-71.7500,-26.098116
-71.5000,-25.950649
-71.2500,-25.805202
-71.0000,-25.661915
-70.7500,-25.520887
-70.5000,-25.382275
-70.2500,-25.246248
-70.0000,-25.112816
-69.7500,-24.982182
-69.5000,-24.854412
-69.2500,-24.729599
-69.0000,-24.607868
-68.7500,-24.489304
-68.5000,-24.373953
-68.2500,-24.261948
-68.0000,-24.153366
-67.7500,-24.048288
-67.5000,-23.946774
-67.2500,-23.848934
-67.0000,-23.754816
-66.7500,-23.664547
-66.5000,-23.578144
-66.2500,-23.495714
-66.0000,-23.417328
-65.7500,-23.343079
-65.5000,-23.273022
-65.2500,-23.207249
-65.0000,-23.145849
