element,amplitude,phase_rad,phase_deg
0,0.47998381,-0.42402825,-24.2950
1,0.49372929,0.95491713,54.7127
2,0.47572586,2.33118796,133.5672
3,0.52228934,-2.05177546,-117.5581
4,0.64798129,-0.59654367,-34.1794
5,0.58232468,1.40661263,80.5930
6,0.36007461,2.18478847,125.1792
7,0.27783164,-1.90285861,-109.0258
8,0.58385742,1.30322134,74.6691
9,0.54565513,1.20799243,69.2129
10,0.42487371,2.17129183,124.4059
11,0.66148442,-2.11553383,-121.2112
12,0.69181317,-0.41788366,-23.9430
13,0.54918486,0.48538876,27.8107
14,0.37232685,2.02676988,116.1254
15,0.37222606,-2.44605231,-140.1485
16,0.51519459,-0.43106648,-24.6983
17,0.56835121,0.20349100,11.6592
18,0.50881720,2.44387531,140.0237
19,0.69291705,-2.39927292,-137.4682
20,0.63472044,-0.33684111,-19.2996
21,0.59586966,0.64908707,37.1899
22,0.39513052,2.23620105,128.1249
23,0.31539395,-2.36867213,-135.7149
24,0.50969815,-0.77090490,-44.1696
25,0.56542218,0.09811141,5.6214
26,0.47457346,2.44576025,140.1317
27,0.52806425,-2.03709722,-116.7171
28,0.60890901,-0.97388756,-55.7996
29,0.59889323,0.89360982,51.2001
30,0.43439925,2.59738946,148.8195
31,0.35737172,-2.56540442,-146.9868
32,0.46068493,-1.43394721,-82.1591
33,0.49581391,0.21218057,12.1571
34,0.53413910,2.53525972,145.2597
35,0.57975769,-1.96607316,-112.6477
36,0.63205868,-1.01861382,-58.3623
37,0.55062532,0.41133958,23.5680
38,0.36365241,2.52627683,144.7450
39,0.24643472,-1.63660252,-93.7704
40,0.50563776,-1.09837067,-62.9320
41,0.52143753,1.40481758,80.4901
42,0.47193220,2.35200334,134.7599
43,0.54391325,-2.06646204,-118.3996
44,0.60197473,-0.66512340,-38.1088
45,0.65343136,0.43563384,24.9600
46,0.42153096,2.51880956,144.3172
47,0.32039773,-2.18435669,-125.1544
48,0.57698798,0.94777751,54.3037
49,0.56864977,2.13579106,122.3718
50,0.48647603,2.39937758,137.4742
51,0.64617336,-2.22600150,-127.5405
52,0.67723757,-0.50711894,-29.0558
53,0.55576998,1.58045983,90.5537
54,0.37026453,2.55485034,146.3821
55,0.27247813,-1.95209730,-111.8469
56,0.54514998,-1.87489796,-107.4237
57,0.49246058,1.70034587,97.4226
58,0.59872967,2.65176201,151.9348
59,0.59313506,-2.27547884,-130.3753
60,0.54208142,-0.96153688,-55.0920
61,0.57248360,0.76367825,43.7555
62,0.35440993,2.52283645,144.5479
63,0.28541532,-2.02624702,-116.0954
