theta_deg,sum_db,diff_db
-90.0000,-74.689331,-21.410925
-89.7500,-74.680397,-21.410805
-89.5000,-74.670952,-21.410534
-89.2500,-74.653648,-21.410076
-89.0000,-74.624374,-21.409409
-88.7500,-74.578568,-21.408585
-88.5000,-74.533516,-21.407568
-88.2500,-74.470222,-21.406338
-88.0000,-74.404839,-21.404942
-87.7500,-74.337433,-21.403418
-87.5000,-74.251511,-21.401699
-87.2500,-74.165443,-21.399834
-87.0000,-74.075325,-21.397804
-86.7500,-73.979340,-21.395634
-86.5000,-73.876740,-21.393253
-86.2500,-73.759254,-21.390791
-86.0000,-73.647079,-21.388195
-85.7500,-73.530350,-21.385494
-85.5000,-73.402008,-21.382647
-85.2500,-73.282234,-21.379719
-85.0000,-73.154388,-21.376656
-84.7500,-73.022331,-21.373535
-84.5000,-72.887962,-21.370352
-84.2500,-72.751442,-21.367111
-84.0000,-72.614967,-21.363827
-83.7500,-72.493248,-21.360472
-83.5000,-72.355911,-21.357138
-83.2500,-72.224274,-21.353819
-83.0000,-72.096161,-21.350508
-82.7500,-71.966461,-21.347221
-82.5000,-71.845474,-21.343992
-82.2500,-71.722046,-21.340797
-82.0000,-71.602921,-21.337761
-81.7500,-71.489410,-21.334785
-81.5000,-71.389938,-21.331961
-81.2500,-71.281296,-21.329323
-81.0000,-71.193306,-21.326826
-80.7500,-71.105148,-21.324551
-80.5000,-71.028580,-21.322533
-80.2500,-70.958145,-21.320698
-80.0000,-70.902885,-21.319206
-79.7500,-70.852707,-21.318018
-79.5000,-70.814934,-21.317156
-79.2500,-70.788719,-21.316677
-79.0000,-70.778320,-21.316603
-78.7500,-70.782677,-21.316965
-78.5000,-70.797440,-21.317749
-78.2500,-70.829750,-21.319086
-78.0000,-70.880470,-21.320930
-77.7500,-70.955750,-21.323366
-77.5000,-71.046539,-21.326351
-77.2500,-71.162422,-21.330009
-77.0000,-71.310471,-21.334354
-76.7500,-71.473419,-21.339409
-76.5000,-71.673225,-21.345179
-76.2500,-71.907089,-21.351757
-76.0000,-72.182404,-21.359173
-75.7500,-72.491211,-21.367416
-75.5000,-72.850021,-21.376598
