theta_deg,sum_db,diff_db
-90.0000,-45.819336,-18.495533
-89.7500,-45.853058,-18.502798
-89.5000,-45.954735,-18.524538
-89.2500,-46.126347,-18.560902
-89.0000,-46.372089,-18.612024
-88.7500,-46.696907,-18.678085
-88.5000,-47.107960,-18.759329
-88.2500,-47.617882,-18.856094
-88.0000,-48.239471,-18.968739
-87.7500,-48.996010,-19.097837
-87.5000,-49.917168,-19.243731
-87.2500,-51.049061,-19.407219
-87.0000,-52.466259,-19.589046
-86.7500,-54.292980,-19.789940
-86.5000,-56.782013,-20.010952
-86.2500,-60.528725,-20.253267
-86.0000,-67.770859,-20.518064
-85.7500,-76.656837,-20.806984
-85.5000,-62.808323,-21.121742
-85.2500,-57.591942,-21.464203
-85.0000,-54.279030,-21.836950
-84.7500,-51.836452,-22.242809
-84.5000,-49.899109,-22.685036
-84.2500,-48.293591,-23.167593
-84.0000,-46.924240,-23.695412
-83.7500,-45.733849,-24.274384
-83.5000,-44.683441,-24.911966
-83.2500,-43.746506,-25.617571
-83.0000,-42.904495,-26.403139
-82.7500,-42.142975,-27.284920
-82.5000,-41.450882,-28.284340
-82.2500,-40.820469,-29.432152
-82.0000,-40.244881,-30.773876
-81.7500,-39.718353,-32.379818
-81.5000,-39.236668,-34.370682
-81.2500,-38.796387,-36.977638
-81.0000,-38.394543,-40.738262
-80.7500,-38.028378,-47.538612
-80.5000,-37.696003,-62.095306
-80.2500,-37.395638,-44.797001
-80.0000,-37.125977,-39.411461
-79.7500,-36.885483,-36.133617
-79.5000,-36.673512,-33.781433
-79.2500,-36.488941,-31.954020
-79.0000,-36.331181,-30.467529
-78.7500,-36.199722,-29.221279
-78.5000,-36.094322,-28.154619
-78.2500,-36.014511,-27.227985
-78.0000,-35.960129,-26.414818
-77.7500,-35.931252,-25.695206
-77.5000,-35.927811,-25.055296
-77.2500,-35.950092,-24.484253
-77.0000,-35.998287,-23.973883
-76.7500,-36.072697,-23.517630
-76.5000,-36.173943,-23.110386
-76.2500,-36.302601,-22.748144
-76.0000,-36.459270,-22.427570
-75.7500,-36.645138,-22.146084
-75.5000,-36.860733,-21.901585
-75.2500,-37.107643,-21.692459
-75.0000,-37.387184,-21.517458
-74.7500,-37.700577,-21.375618
-74.5000,-38.050110,-21.266367
-74.2500,-38.437504,-21.189369
-74.0000,-38.865566,-21.144459
-73.7500,-39.336575,-21.131882
-73.5000,-39.854576,-21.152042
-73.2500,-40.422958,-21.205614
-73.0000,-41.046768,-21.293612
-72.7500,-41.731140,-21.417265
-72.5000,-42.483067,-21.578285
-72.2500,-43.310734,-21.778681
-72.0000,-44.224850,-22.021122
-71.7500,-45.238041,-22.308542
-71.5000,-46.367493,-22.644884
-71.2500,-47.636513,-23.034958
-71.0000,-49.076878,-23.484678
-70.7500,-50.734703,-24.001444
-70.5000,-52.680878,-24.595024
-70.2500,-55.034851,-25.277737
-70.0000,-58.016335,-26.066231
-69.7500,-62.134659,-26.983246
-69.5000,-69.062012,-28.061293
-69.2500,-90.568787,-29.348593
-69.0000,-68.876556,-30.921652
-68.7500,-63.939697,-32.912621
-68.5000,-61.373665,-35.580784
-68.2500,-59.900681,-39.559853
-68.0000,-59.113762,-47.328758
-67.7500,-58.861614,-53.996769
-67.5000,-59.112530,-41.573059
-67.2500,-59.919067,-36.646526
-67.0000,-61.454758,-33.525635
-66.7500,-64.197952,-31.247309
-66.5000,-69.804565,-29.462187
-66.2500,-89.596939,-28.004597
-66.0000,-66.927376,-26.782177
-65.7500,-60.665672,-25.738581
-65.5000,-56.729206,-24.837133
-65.2500,-53.808285,-24.052155
-65.0000,-51.471634,-23.365559
-64.7500,-49.521606,-22.763929
-64.5000,-47.851006,-22.237164
-64.2500,-46.393528,-21.777534
-64.0000,-45.107323,-21.379143
-63.7500,-43.962601,-21.037291
-63.5000,-42.938389,-20.748371
-63.2500,-42.018700,-20.509665
-63.0000,-41.191784,-20.319082
-62.7500,-40.448223,-20.175188
-62.5000,-39.780785,-20.076979
-62.2500,-39.183868,-20.023939
-62.0000,-38.653049,-20.016098
-61.7500,-38.184544,-20.053778
-61.5000,-37.775986,-20.137880
-61.2500,-37.425083,-20.269753
-61.0000,-37.130531,-20.451244
-60.7500,-36.891582,-20.684908
-60.5000,-36.707874,-20.973923
-60.2500,-36.579472,-21.322426
-60.0000,-36.507370,-21.735743
-59.7500,-36.492699,-22.220613
-59.5000,-36.537411,-22.785654
-59.2500,-36.644447,-23.442268
-59.0000,-36.817184,-24.205599
-58.7500,-37.060337,-25.096169
-58.5000,-37.379776,-26.143177
-58.2500,-37.783722,-27.389393
-58.0000,-38.282112,-28.901676
-57.7500,-38.888844,-30.792210
-57.5000,-39.622215,-33.272823
-57.2500,-40.508305,-36.824017
-57.0000,-41.584518,-43.012321
-56.7500,-42.908268,-70.628616
-56.5000,-44.573479,-42.347374
-56.2500,-46.749668,-36.537399
-56.0000,-49.793762,-33.132816
-55.7500,-54.706287,-30.741184
-55.5000,-67.682716,-28.917215
-55.2500,-59.752201,-27.460806
-55.0000,-52.134518,-26.264894
-54.7500,-48.163204,-25.265274
-54.5000,-45.486870,-24.420715
-54.2500,-43.492233,-23.703156
-54.0000,-41.925751,-23.092640
-53.7500,-40.658195,-22.574652
-53.5000,-39.615360,-22.138292
-53.2500,-38.750568,-21.775320
-53.0000,-38.032612,-21.479332
-52.7500,-37.440304,-21.245525
-52.5000,-36.958588,-21.070110
-52.2500,-36.576538,-20.950241
-52.0000,-36.286762,-20.883867
-51.7500,-36.083664,-20.869608
-51.5000,-35.963722,-20.906694
-51.2500,-35.925446,-20.994892
-51.0000,-35.968052,-21.134563
-50.7500,-36.092590,-21.326698
-50.5000,-36.301304,-21.572803
-50.2500,-36.598370,-21.875275
-50.0000,-36.989861,-22.237244
-49.7500,-37.483669,-22.662981
-49.5000,-38.091728,-23.158014
-49.2500,-38.829960,-23.729527
-49.0000,-39.720863,-24.387215
-48.7500,-40.797302,-25.143822
-48.5000,-42.108364,-26.016798
-48.2500,-43.733597,-27.030533
-48.0000,-45.811214,-28.220356
-47.7500,-48.617699,-29.640141
-47.5000,-52.843903,-31.377113
-47.2500,-61.386551,-33.587311
-47.0000,-65.080208,-36.592430
-46.7500,-54.271072,-41.250580
-46.5000,-49.726734,-51.977352
-46.2500,-46.876278,-48.901905
-46.0000,-44.846779,-40.323318
-45.7500,-43.312729,-36.141674
-45.5000,-42.117348,-33.376434
-45.2500,-41.172707,-31.325724
-45.0000,-40.425449,-29.710245
-44.7500,-39.840454,-28.389523
-44.5000,-39.393837,-27.283506
-44.2500,-39.069294,-26.341856
-44.0000,-38.854797,-25.531170
-43.7500,-38.742157,-24.827885
-43.5000,-38.725502,-24.215061
-43.2500,-38.801247,-23.680016
-43.0000,-38.967663,-23.213200
-42.7500,-39.224060,-22.807262
-42.5000,-39.571880,-22.456383
-42.2500,-40.013763,-22.156078
-42.0000,-40.554337,-21.902855
-41.7500,-41.199966,-21.694109
-41.5000,-41.960178,-21.527719
-41.2500,-42.847916,-21.402325
-41.0000,-43.881245,-21.317060
-40.7500,-45.085796,-21.271421
-40.5000,-46.499767,-21.265457
-40.2500,-48.180252,-21.299561
-40.0000,-50.223824,-21.374638
-39.7500,-52.803322,-21.492052
-39.5000,-56.289551,-21.653645
-39.2500,-61.734161,-21.861931
-39.0000,-76.157387,-22.119972
-38.7500,-66.903160,-22.431736
-38.5000,-60.013538,-22.802238
-38.2500,-56.587223,-23.237734
-38.0000,-54.430435,-23.746208
-37.7500,-52.954651,-24.337959
-37.5000,-51.911934,-25.026466
-37.2500,-51.175709,-25.829908
-37.0000,-50.670925,-26.773367
-36.7500,-50.349140,-27.892979
-36.5000,-50.176636,-29.243231
-36.2500,-50.127415,-30.912582
-36.0000,-50.181107,-33.058151
-35.7500,-50.319489,-36.004131
-35.5000,-50.524254,-40.616501
-35.2500,-50.778717,-51.384907
-35.0000,-51.064037,-48.011169
-34.7500,-51.360363,-39.444256
-34.5000,-51.644894,-35.230793
-34.2500,-51.894463,-32.432053
-34.0000,-52.086266,-30.351591
-33.7500,-52.197105,-28.712160
-33.5000,-52.208668,-27.374651
-33.2500,-52.107815,-26.259748
-33.0000,-51.889893,-25.317978
-32.7500,-51.556019,-24.516575
-32.5000,-51.117157,-23.832777
-32.2500,-50.586208,-23.250341
-32.0000,-49.983368,-22.757435
-31.7500,-49.326435,-22.345291
-31.5000,-48.634781,-22.007389
-31.2500,-47.923500,-21.738949
-31.0000,-47.207241,-21.536621
-30.7500,-46.497025,-21.398153
-30.5000,-45.801193,-21.322304
-30.2500,-45.126282,-21.308765
-30.0000,-44.477001,-21.358185
-29.7500,-43.856010,-21.472084
-29.5000,-43.265339,-21.653034
-29.2500,-42.706047,-21.904793
-29.0000,-42.178322,-22.232529
-28.7500,-41.681896,-22.643272
-28.5000,-41.216122,-23.146397
-28.2500,-40.780262,-23.754513
-28.0000,-40.373310,-24.484882
-27.7500,-39.994282,-25.361721
-27.5000,-39.641888,-26.419956
-27.2500,-39.315449,-27.712803
-27.0000,-39.013771,-29.326141
-26.7500,-38.736015,-31.412737
-26.5000,-38.481438,-34.285400
-26.2500,-38.249630,-38.767414
-26.0000,-38.040066,-48.911400
-25.7500,-37.852615,-47.028198
-25.5000,-37.687149,-38.044937
-25.2500,-37.543850,-33.735985
-25.0000,-37.423172,-30.896751
-24.7500,-37.325439,-28.797478
-24.5000,-37.251480,-27.151300
-24.2500,-37.202217,-25.815351
-24.0000,-37.178730,-24.708530
-23.7500,-37.182194,-23.780287
-23.5000,-37.214169,-22.997196
-23.2500,-37.276146,-22.336130
-23.0000,-37.369987,-21.780518
-22.7500,-37.497601,-21.318268
-22.5000,-37.661293,-20.940411
-22.2500,-37.863201,-20.640194
-22.0000,-38.106113,-20.412689
-21.7500,-38.392811,-20.254280
-21.5000,-38.726429,-20.162487
-21.2500,-39.110340,-20.135803
-21.0000,-39.548595,-20.173628
-20.7500,-40.045418,-20.276194
-20.5000,-40.605843,-20.444523
-20.2500,-41.235390,-20.680614
-20.0000,-41.940529,-20.987474
-19.7500,-42.728882,-21.369276
-19.5000,-43.609230,-21.831734
-19.2500,-44.592152,-22.382473
