theta_deg,pattern_db
-90.0000,-31.972637
-89.7500,-31.972527
-89.5000,-31.972210
-89.2500,-31.971636
-89.0000,-31.970741
-88.7500,-31.969448
-88.5000,-31.967659
-88.2500,-31.965216
-88.0000,-31.961998
-87.7500,-31.957794
-87.5000,-31.952389
-87.2500,-31.945595
-87.0000,-31.937170
-86.7500,-31.926805
-86.5000,-31.914253
-86.2500,-31.899183
-86.0000,-31.881306
-85.7500,-31.860273
-85.5000,-31.835737
-85.2500,-31.807383
-85.0000,-31.774836
-84.7500,-31.737701
-84.5000,-31.695709
-84.2500,-31.648483
-84.0000,-31.595716
-83.7500,-31.537073
-83.5000,-31.472340
-83.2500,-31.401224
-83.0000,-31.323488
-82.7500,-31.238998
-82.5000,-31.147577
-82.2500,-31.049206
-82.0000,-30.943720
-81.7500,-30.831282
-81.5000,-30.711758
-81.2500,-30.585346
-81.0000,-30.452194
-80.7500,-30.312481
-80.5000,-30.166349
-80.2500,-30.014143
-80.0000,-29.856110
-79.7500,-29.692562
-79.5000,-29.523943
-79.2500,-29.350445
-79.0000,-29.172588
-78.7500,-28.990667
-78.5000,-28.805069
-78.2500,-28.616238
-78.0000,-28.424549
-77.7500,-28.230335
-77.5000,-28.034018
-77.2500,-27.835894
-77.0000,-27.636404
-76.7500,-27.435818
-76.5000,-27.234509
-76.2500,-27.032734
-76.0000,-26.830818
-75.7500,-26.629044
-75.5000,-26.427649
-75.2500,-26.226891
-75.0000,-26.027029
-74.7500,-25.828211
-74.5000,-25.630730
-74.2500,-25.434740
-74.0000,-25.240406
-73.7500,-25.047913
-73.5000,-24.857416
-73.2500,-24.669041
-73.0000,-24.482977
-72.7500,-24.299290
-72.5000,-24.118177
-72.2500,-23.939697
-72.0000,-23.764023
-71.7500,-23.591173
-71.5000,-23.421307
-71.2500,-23.254532
-71.0000,-23.090918
-70.7500,-22.930561
-70.5000,-22.773525
-70.2500,-22.619936
-70.0000,-22.469856
-69.7500,-22.323395
-69.5000,-22.180595
-69.2500,-22.041569
-69.0000,-21.906412
-68.7500,-21.775190
-68.5000,-21.647987
-68.2500,-21.524908
-68.0000,-21.406017
-67.7500,-21.291447
-67.5000,-21.181276
-67.2500,-21.075596
-67.0000,-20.974548
-66.7500,-20.878181
-66.5000,-20.786682
-66.2500,-20.700104
-66.0000,-20.618612
-65.7500,-20.542334
-65.5000,-20.471432
-65.2500,-20.406002
-65.0000,-20.346258
-64.7500,-20.292368
-64.5000,-20.244480
-64.2500,-20.202797
-64.0000,-20.167540
-63.7500,-20.138910
-63.5000,-20.117147
-63.2500,-20.102516
-63.0000,-20.095291
-62.7500,-20.095764
-62.5000,-20.104248
-62.2500,-20.121107
-62.0000,-20.146709
-61.7500,-20.181458
-61.5000,-20.225784
-61.2500,-20.280212
-61.0000,-20.345228
-60.7500,-20.421463
-60.5000,-20.509527
-60.2500,-20.610170
-60.0000,-20.724154
-59.7500,-20.852396
-59.5000,-20.995842
-59.2500,-21.155617
-59.0000,-21.332954
-58.7500,-21.529293
-58.5000,-21.746256
-58.2500,-21.985634
-58.0000,-22.249580
-57.7500,-22.540531
-57.5000,-22.861362
-57.2500,-23.215435
-57.0000,-23.606770
-56.7500,-24.040081
-56.5000,-24.521191
-56.2500,-25.057072
-56.0000,-25.656425
-55.7500,-26.329971
-55.5000,-27.091167
-55.2500,-27.956942
-55.0000,-28.948513
-54.7500,-30.091047
-54.5000,-31.410820
-54.2500,-32.919773
-54.0000,-34.562351
-53.7500,-36.063007
-53.5000,-36.744446
-53.2500,-36.020969
-53.0000,-34.304729
-52.7500,-32.335987
-52.5000,-30.467953
-52.2500,-28.786180
-52.0000,-27.286388
-51.7500,-25.943493
-51.5000,-24.731558
-51.2500,-23.628511
-51.0000,-22.616600
-50.7500,-21.681667
-50.5000,-20.812462
-50.2500,-19.999928
-50.0000,-19.236765
-49.7500,-18.516949
-49.5000,-17.835577
-49.2500,-17.188480
-49.0000,-16.572199
-48.7500,-15.983777
-48.5000,-15.420703
-48.2500,-14.880799
-48.0000,-14.362201
-47.7500,-13.863235
-47.5000,-13.382496
-47.2500,-12.918696
-47.0000,-12.470718
-46.7500,-12.037587
-46.5000,-11.618404
-46.2500,-11.212367
-46.0000,-10.818762
-45.7500,-10.436941
-45.5000,-10.066323
-45.2500,-9.706390
-45.0000,-9.356653
-44.7500,-9.016661
-44.5000,-8.686041
-44.2500,-8.364397
-44.0000,-8.051420
-43.7500,-7.746780
-43.5000,-7.450209
-43.2500,-7.161434
-43.0000,-6.880214
-42.7500,-6.606327
-42.5000,-6.339569
-42.2500,-6.079749
-42.0000,-5.826684
-41.7500,-5.580217
-41.5000,-5.340187
-41.2500,-5.106455
-41.0000,-4.878892
-40.7500,-4.657372
-40.5000,-4.441780
-40.2500,-4.232015
-40.0000,-4.027971
-39.7500,-3.829559
-39.5000,-3.636692
-39.2500,-3.449290
-39.0000,-3.267287
-38.7500,-3.090600
-38.5000,-2.919182
-38.2500,-2.752963
-38.0000,-2.591893
-37.7500,-2.435918
-37.5000,-2.284994
-37.2500,-2.139081
-37.0000,-1.998136
-36.7500,-1.862124
-36.5000,-1.731016
-36.2500,-1.604783
-36.0000,-1.483396
-35.7500,-1.366834
-35.5000,-1.255075
-35.2500,-1.148100
-35.0000,-1.045900
-34.7500,-0.948457
-34.5000,-0.855765
-34.2500,-0.767812
-34.0000,-0.684595
-33.7500,-0.606113
-33.5000,-0.532360
-33.2500,-0.463341
-33.0000,-0.399061
-32.7500,-0.339521
-32.5000,-0.284735
-32.2500,-0.234709
-32.0000,-0.189454
-31.7500,-0.148988
-31.5000,-0.113326
-31.2500,-0.082484
-31.0000,-0.056484
-30.7500,-0.035351
-30.5000,-0.019108
-30.2500,-0.007782
-30.0000,-0.001401
-29.7500,0.000000
-29.5000,-0.003610
-29.2500,-0.012269
-29.0000,-0.026014
-28.7500,-0.044888
-28.5000,-0.068934
-28.2500,-0.098198
-28.0000,-0.132730
-27.7500,-0.172582
-27.5000,-0.217808
-27.2500,-0.268466
-27.0000,-0.324619
-26.7500,-0.386330
-26.5000,-0.453668
-26.2500,-0.526703
-26.0000,-0.605512
-25.7500,-0.690173
-25.5000,-0.780773
-25.2500,-0.877396
-25.0000,-0.980137
-24.7500,-1.089093
-24.5000,-1.204369
-24.2500,-1.326070
-24.0000,-1.454312
-23.7500,-1.589215
-23.5000,-1.730910
-23.2500,-1.879528
-23.0000,-2.035212
-22.7500,-2.198114
-22.5000,-2.368389
-22.2500,-2.546210
-22.0000,-2.731757
-21.7500,-2.925213
-21.5000,-3.126788
-21.2500,-3.336689
-21.0000,-3.555146
-20.7500,-3.782403
-20.5000,-4.018723
-20.2500,-4.264383
-20.0000,-4.519677
-19.7500,-4.784925
-19.5000,-5.060466
-19.2500,-5.346675
-19.0000,-5.643947
-18.7500,-5.952706
-18.5000,-6.273420
-18.2500,-6.606591
-18.0000,-6.952761
-17.7500,-7.312531
-17.5000,-7.686550
-17.2500,-8.075522
-17.0000,-8.480235
-16.7500,-8.901537
-16.5000,-9.340383
-16.2500,-9.797819
-16.0000,-10.275003
-15.7500,-10.773238
-15.5000,-11.293961
-15.2500,-11.838791
-15.0000,-12.409549
-14.7500,-13.008275
-14.5000,-13.637276
-14.2500,-14.299153
-14.0000,-14.996833
-13.7500,-15.733612
-13.5000,-16.513142
-13.2500,-17.339432
-13.0000,-18.216722
-12.7500,-19.149225
-12.5000,-20.140503
-12.2500,-21.192276
-12.0000,-22.301956
-11.7500,-23.458153
-11.5000,-24.632662
-11.2500,-25.768595
-11.0000,-26.768997
-10.7500,-27.502682
-10.5000,-27.851254
-10.2500,-27.782814
-10.0000,-27.376381
-9.7500,-26.765198
-9.5000,-26.068403
-9.2500,-25.364441
-9.0000,-24.696083
-8.7500,-24.083088
-8.5000,-23.532539
-8.2500,-23.045084
-8.0000,-22.618368
-7.7500,-22.248850
-7.5000,-21.932688
-7.2500,-21.666174
-7.0000,-21.445930
-6.7500,-21.268936
-6.5000,-21.132584
-6.2500,-21.034641
-6.0000,-20.973196
-5.7500,-20.946667
-5.5000,-20.953716
-5.2500,-20.993280
-5.0000,-21.064501
-4.7500,-21.166689
-4.5000,-21.299358
-4.2500,-21.462133
-4.0000,-21.654760
-3.7500,-21.877087
-3.5000,-22.128965
-3.2500,-22.410295
-3.0000,-22.720861
-2.7500,-23.060305
-2.5000,-23.428005
-2.2500,-23.822857
-2.0000,-24.243050
-1.7500,-24.685745
-1.5000,-25.146667
-1.2500,-25.619516
-1.0000,-26.095354
-0.7500,-26.561943
-0.5000,-27.003414
-0.2500,-27.400276
0.0000,-27.730640
0.2500,-27.972775
0.5000,-28.108770
0.7500,-28.128574
1.0000,-28.032501
1.2500,-27.831144
1.5000,-27.542561
1.7500,-27.188362
2.0000,-26.790066
2.2500,-26.366547
2.5000,-25.933121
2.7500,-25.501366
3.0000,-25.079639
3.2500,-24.673710
3.5000,-24.287317
3.7500,-23.922764
4.0000,-23.581337
4.2500,-23.263611
4.5000,-22.969635
4.7500,-22.699146
5.0000,-22.451679
5.2500,-22.226648
5.5000,-22.023346
5.7500,-21.841066
6.0000,-21.679068
6.2500,-21.536598
6.5000,-21.412910
6.7500,-21.307268
7.0000,-21.218956
7.2500,-21.147236
7.5000,-21.091404
7.7500,-21.050730
8.0000,-21.024496
8.2500,-21.011948
8.5000,-21.012318
8.7500,-21.024822
9.0000,-21.048637
9.2500,-21.082880
9.5000,-21.126635
9.7500,-21.178917
10.0000,-21.238688
10.2500,-21.304832
10.5000,-21.376181
10.7500,-21.451475
11.0000,-21.529419
11.2500,-21.608639
11.5000,-21.687727
11.7500,-21.765249
12.0000,-21.839773
12.2500,-21.909889
12.5000,-21.974247
12.7500,-22.031593
13.0000,-22.080814
13.2500,-22.120953
13.5000,-22.151264
13.7500,-22.171234
14.0000,-22.180588
14.2500,-22.179325
14.5000,-22.167685
14.7500,-22.146170
15.0000,-22.115490
15.2500,-22.076561
15.5000,-22.030453
15.7500,-21.978355
16.0000,-21.921547
16.2500,-21.861351
16.5000,-21.799116
16.7500,-21.736164
17.0000,-21.673796
17.2500,-21.613258
17.5000,-21.555733
17.7500,-21.502321
18.0000,-21.454067
18.2500,-21.411922
18.5000,-21.376780
18.7500,-21.349447
19.0000,-21.330660
19.2500,-21.321121
19.5000,-21.321449
19.7500,-21.332222
20.0000,-21.353987
20.2500,-21.387243
20.5000,-21.432455
20.7500,-21.490061
21.0000,-21.560486
21.2500,-21.644125
21.5000,-21.741341
21.7500,-21.852505
22.0000,-21.977961
22.2500,-22.118011
22.5000,-22.272964
22.7500,-22.443075
23.0000,-22.628565
23.2500,-22.829580
23.5000,-23.046217
23.7500,-23.278456
24.0000,-23.526100
24.2500,-23.788816
24.5000,-24.065975
24.7500,-24.356651
25.0000,-24.659452
25.2500,-24.972460
25.5000,-25.293045
25.7500,-25.617723
26.0000,-25.942019
26.2500,-26.260221
26.5000,-26.565361
26.7500,-26.849293
27.0000,-27.102806
27.2500,-27.316105
27.5000,-27.479620
27.7500,-27.584949
28.0000,-27.625954
28.2500,-27.599644
28.5000,-27.506588
28.7500,-27.350922
29.0000,-27.139626
29.2500,-26.881588
29.5000,-26.586475
29.7500,-26.263941
30.0000,-25.922787
30.2500,-25.570757
30.5000,-25.214329
30.7500,-24.858713
31.0000,-24.508003
31.2500,-24.165356
31.5000,-23.833080
31.7500,-23.512842
32.0000,-23.205893
32.2500,-22.913010
32.5000,-22.634693
32.7500,-22.371220
33.0000,-22.122726
33.2500,-21.889174
33.5000,-21.670523
33.7500,-21.466572
34.0000,-21.277184
34.2500,-21.102114
34.5000,-20.941145
34.7500,-20.794069
35.0000,-20.660631
35.2500,-20.540646
35.5000,-20.433907
35.7500,-20.340199
36.0000,-20.259365
36.2500,-20.191240
36.5000,-20.135706
36.7500,-20.092606
37.0000,-20.061872
37.2500,-20.043423
37.5000,-20.037170
37.7500,-20.043116
38.0000,-20.061222
