theta_deg,pattern_db
-90.0000,-26.161726
-89.7500,-26.161789
-89.5000,-26.161961
-89.2500,-26.162231
-89.0000,-26.162586
-88.7500,-26.163021
-88.5000,-26.163494
-88.2500,-26.163990
-88.0000,-26.164459
-87.7500,-26.164865
-87.5000,-26.165184
-87.2500,-26.165337
-87.0000,-26.165298
-86.7500,-26.164951
-86.5000,-26.164274
-86.2500,-26.163181
-86.0000,-26.161602
-85.7500,-26.159454
-85.5000,-26.156639
-85.2500,-26.153070
-85.0000,-26.148655
-84.7500,-26.143293
-84.5000,-26.136887
-84.2500,-26.129320
-84.0000,-26.120489
-83.7500,-26.110277
-83.5000,-26.098577
-83.2500,-26.085278
-83.0000,-26.070244
-82.7500,-26.053371
-82.5000,-26.034525
-82.2500,-26.013638
-82.0000,-25.990541
-81.7500,-25.965174
-81.5000,-25.937389
-81.2500,-25.907093
-81.0000,-25.874241
-80.7500,-25.838692
-80.5000,-25.800365
-80.2500,-25.759216
-80.0000,-25.715162
-79.7500,-25.668133
-79.5000,-25.618118
-79.2500,-25.565054
-79.0000,-25.508942
-78.7500,-25.449762
-78.5000,-25.387499
-78.2500,-25.322201
-78.0000,-25.253866
-77.7500,-25.182545
-77.5000,-25.108276
-77.2500,-25.031116
-77.0000,-24.951180
-76.7500,-24.868477
-76.5000,-24.783201
-76.2500,-24.695374
-76.0000,-24.605148
-75.7500,-24.512615
-75.5000,-24.417946
-75.2500,-24.321239
-75.0000,-24.222672
-74.7500,-24.122349
-74.5000,-24.020470
-74.2500,-23.917137
-74.0000,-23.812540
-73.7500,-23.706837
-73.5000,-23.600174
-73.2500,-23.492727
-73.0000,-23.384621
-72.7500,-23.276058
-72.5000,-23.167171
-72.2500,-23.058136
-72.0000,-22.949089
-71.7500,-22.840174
-71.5000,-22.731564
-71.2500,-22.623398
-71.0000,-22.515829
-70.7500,-22.408972
-70.5000,-22.302959
-70.2500,-22.197990
-70.0000,-22.094118
-69.7500,-21.991503
-69.5000,-21.890287
-69.2500,-21.790543
-69.0000,-21.692432
-68.7500,-21.596062
-68.5000,-21.501522
-68.2500,-21.408928
