element,amplitude,phase_rad,phase_deg
0,0.28512916,2.54965997,146.0848
1,0.51289827,-2.35069013,-134.6846
2,0.59244359,-1.47522378,-84.5241
3,0.66612262,0.53368098,30.5777
4,0.57451302,2.48341990,142.2895
5,0.45506066,-1.70170188,-97.5003
6,0.60730839,-1.41541207,-81.0971
7,0.42770520,1.04529023,59.8907
8,0.38286546,2.42724752,139.0710
9,0.34254920,-2.09206843,-119.8667
10,0.60783929,-1.48563707,-85.1207
11,0.74315822,0.89557153,51.3125
12,0.58267117,2.54354048,145.7341
13,0.51030552,-1.85806310,-106.4592
14,0.58637071,0.87484956,50.1252
15,0.41645738,2.10881400,120.8261
16,0.30261832,0.90701878,51.9683
17,0.29616830,-1.30295169,-74.6536
18,0.60951334,-0.71041465,-40.7038
19,0.61766922,1.44868946,83.0038
20,0.48628163,2.42714596,139.0652
21,0.62784952,-2.12755084,-121.8997
22,0.55764353,-0.16141760,-9.2485
23,0.38774368,1.63695884,93.7908
24,0.42901063,2.62906551,150.6344
25,0.53412235,-2.29830289,-131.6831
26,0.54582793,-0.06178864,-3.5402
27,0.66780508,1.15364516,66.0990
28,0.46712476,2.38711524,136.7716
29,0.58382779,-2.12126207,-121.5394
30,0.56685978,-0.86179334,-49.3771
31,0.43251026,0.92270958,52.8674
32,0.29611599,2.36915874,135.7428
33,0.45128590,-2.39991164,-137.5048
34,0.60382324,-0.50786269,-29.0984
35,0.59217232,0.85279757,48.8617
36,0.55075711,2.50474715,143.5114
37,0.66561538,-2.48681664,-142.4841
38,0.51182717,-1.40758777,-80.6488
39,0.46562278,1.94758284,111.5883
40,0.39752147,2.30232406,131.9135
41,0.40849116,-2.38856816,-136.8549
42,0.57859427,0.25047264,14.3510
43,0.65820140,0.61904031,35.4684
44,0.53606570,2.35698795,135.0455
45,0.58032268,-2.23387837,-127.9918
46,0.56656146,-0.04375716,-2.5071
47,0.46224853,0.04135503,2.3695
48,0.30805394,2.32928514,133.4582
49,0.26840028,-1.67644048,-96.0530
50,0.59380752,-0.03816809,-2.1869
51,0.67560983,0.67122328,38.4583
52,0.54228431,2.52511644,144.6785
53,0.63699841,-2.37727022,-136.2076
54,0.61799484,-1.62507343,-93.1098
55,0.57273269,-0.50800061,-29.1063
56,0.34280464,2.42318797,138.8384
57,0.43010905,-2.34786582,-134.5228
58,0.55273604,-0.64271969,-36.8251
59,0.72164786,0.93652928,53.6592
60,0.52029800,2.41053247,138.1133
61,0.60999054,-2.20589781,-126.3886
62,0.58181131,-1.28752398,-73.7697
63,0.48896578,-0.13691241,-7.8445
