element,amplitude,phase_rad,phase_deg
0,0.42461219,-2.54649830,-145.9036
1,0.37935054,2.42825675,139.1289
2,0.59867209,0.79358536,45.4691
3,0.54850686,-1.31554961,-75.3754
4,0.44640476,-2.16513896,-124.0533
5,0.57792825,2.35556126,134.9637
6,0.58857775,1.79374528,102.7740
7,0.52899897,-0.17932598,-10.2746
8,0.26943675,-2.07432365,-118.8500
9,0.33213583,2.34418106,134.3117
10,0.66625428,-1.02767062,-58.8812
11,0.63891101,-0.29178435,-16.7180
12,0.60853994,-2.27789235,-130.5136
13,0.42599800,2.20369983,126.2627
14,0.60467619,0.07355196,4.2142
15,0.47052404,-1.72427309,-98.7936
16,0.29660356,-2.19074154,-125.5202
17,0.34651694,2.04399753,117.1124
18,0.53051734,0.37258515,21.3476
19,0.66781288,-0.60616744,-34.7308
20,0.54102814,-2.17969680,-124.8874
21,0.39454454,2.36353374,135.4205
22,0.56495839,-0.56663454,-32.4658
23,0.64355832,-2.33137035,-133.5777
24,0.40810022,-2.66725802,-152.8226
25,0.36377564,2.27428842,130.3071
26,0.51680505,1.29588521,74.2488
27,0.63113791,-0.35257444,-20.2010
28,0.63389874,-2.33420658,-133.7402
29,0.55400938,2.48979664,142.6548
30,0.51756334,1.57537472,90.2623
31,0.51797986,-0.34192172,-19.5907
32,0.28867263,-1.53663921,-88.0429
33,0.38688263,2.09906530,120.2676
34,0.59472275,1.52714944,87.4992
35,0.67999613,-0.97401994,-55.8072
36,0.57957351,-2.24907851,-128.8627
37,0.53554100,2.51392126,144.0371
38,0.56090641,1.53967083,88.2166
39,0.44916427,-0.69459772,-39.7975
40,0.45162979,-2.63989758,-151.2550
41,0.36218867,2.58124161,147.8943
42,0.57106704,0.55949336,32.0566
43,0.59408301,-1.33869934,-76.7018
44,0.59629881,-2.30120373,-131.8493
45,0.42081285,2.16949081,124.3027
46,0.51710755,1.61085498,92.2952
47,0.53013653,-2.16693735,-124.1564
48,0.30856052,-2.36943269,-135.7585
49,0.31124169,1.92876482,110.5101
50,0.56085563,1.21634769,69.6916
51,0.63609695,-1.00854254,-57.7852
52,0.48594898,-2.03680778,-116.7005
53,0.37351415,2.05566263,117.7808
54,0.59981835,-0.27808729,-15.9332
55,0.60707468,0.81602472,46.7548
56,0.27341059,-2.18577194,-125.2355
57,0.34300888,2.30039525,131.8029
58,0.60128814,0.77567571,44.4429
59,0.58262509,-0.38119772,-21.8410
60,0.51476806,-2.32865453,-133.4221
61,0.62177718,2.54433298,145.7795
62,0.58409131,1.47316074,84.4059
63,0.52975333,1.32065177,75.6678
